"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
200	0.6841163	0.0575275	0.1360159	0.2235524	0.3387353	0.2641709	0.5681762	0.2666226	0.5228000	0.5477624
250	0.7508445	0.0633213	0.1924240	0.2470019	0.2511043	0.3177138	0.6891668	0.3788932	0.4993204	0.5187043
300	0.7211334	0.0830855	0.2207162	0.2898630	0.3364319	0.3552757	0.6802994	0.3492922	0.5600876	0.6149702
350	0.7322515	0.1051097	0.2187500	0.2362397	0.2258736	0.3498448	0.5243359	0.3997170	0.5189302	0.7392875
400	0.7253345	0.1325744	0.2859857	0.2328636	0.2159704	0.2962485	0.4813477	0.4007446	0.4392803	0.6457323
450	0.6382054	0.1173070	0.2319798	0.3434452	0.1520253	0.3352740	0.4704897	0.4415822	0.3691865	0.5991071
500	0.6282864	0.1469654	0.2609701	0.4613706	0.2079190	0.3146975	0.5659895	0.4480838	0.4296247	0.4599177
550	0.8075237	0.1279569	0.2276878	0.3655613	0.1696810	0.3285111	0.5063009	0.4358861	0.4608360	0.5905773
600	0.5120725	0.0728264	0.2568508	0.3955478	0.2332921	0.3225118	0.5123336	0.6332415	0.4978446	0.7263447
650	0.3601863	0.0904921	0.2288530	0.4111908	0.2214129	0.2202990	0.4522873	0.7067087	0.3089607	0.7642808
700	0.4501704	0.0774337	0.2722046	0.3533224	0.3132119	0.2161792	0.3174642	0.4151035	0.4459015	0.8021226
750	0.4297647	0.0603713	0.2388747	0.3033970	0.3202841	0.2546605	0.4378465	0.4086441	0.3787716	0.7424580
800	0.4932912	0.0688803	0.1595798	0.3081505	0.3791508	0.1310869	0.4539913	0.3593271	0.4173550	0.6930174
850	0.6260606	0.0466296	0.1916308	0.2938534	0.4800889	0.1537936	0.5101962	0.2436565	0.3643506	0.7679369
900	0.5861440	0.0640555	0.1010035	0.1138220	0.3868587	0.2753678	0.5736113	0.1773507	0.4024015	0.8104528
950	0.5212715	0.0747611	0.1292331	0.1251947	0.3989218	0.2377973	0.5814981	0.2463944	0.4066059	0.7355394
1000	0.6154534	0.0622100	0.2089190	0.0929385	0.3991693	0.3150222	0.6790533	0.1876735	0.4352084	0.8823088

0	0.5825383	0.1090434	0.2446647	0.2513766	0.2715355	0.3286802	0.6245273	0.4119653	0.4108734	0.8158746
50	0.5220379	0.0798787	0.2273958	0.3116653	0.2427652	0.2624051	0.4918885	0.5574249	0.4104412	0.7967875
100	0.5028582	0.0713476	0.1821434	0.2819844	0.2240814	0.3473735	0.5341368	0.3860080	0.3889924	0.7963061
150	0.5281775	0.1376839	0.1928145	0.2443005	0.1729363	0.3052208	0.4656933	0.3791330	0.3299584	0.7077570
200	0.4997638	0.0790396	0.2816853	0.2845092	0.1609750	0.3379254	0.4094480	0.4296974	0.4747360	0.9485414
250	0.5106990	0.1961721	0.3279589	0.2667837	0.1428070	0.3313914	0.5962666	0.4954216	0.3735897	0.6228390
300	0.6861247	0.1798553	0.2696479	0.3342077	0.1746635	0.2498587	0.3905842	0.4161554	0.3324713	0.6619300
350	0.5094633	0.1236964	0.2654529	0.2853585	0.1968960	0.2865052	0.3489191	0.4873072	0.3416388	0.7750876
400	0.4230955	0.1679970	0.2742542	0.3091892	0.1423369	0.3743521	0.3236771	0.5868619	0.3466520	0.7396122
450	0.5201940	0.2027602	0.2773854	0.2991874	0.1828843	0.3778041	0.2514755	0.5032048	0.3787554	0.9743909
500	0.3999235	0.1068228	0.2636779	0.3788809	0.2332600	0.2666802	0.3533221	0.3765164	0.3667461	0.9234292
550	0.4226495	0.0751537	0.2100294	0.4210442	0.1753018	0.2388861	0.5205020	0.6118250	0.3185043	0.7035013
600	0.4595322	0.0780050	0.2565406	0.4302667	0.2527113	0.2537872	0.2797689	0.4893396	0.3740440	0.7144673
650	0.4831635	0.0689486	0.1737910	0.3013118	0.2771189	0.2431906	0.3243632	0.4575816	0.2899889	0.7822618
700	0.4109632	0.0482586	0.0788029	0.2218664	0.3403018	0.1959040	0.3141766	0.3976623	0.3975505	0.6421509
750	0.4213196	0.0245846	0.0671460	0.1401351	0.4620153	0.1024875	0.4035500	0.2931274	0.2882149	0.9098133
800	0.4466404	0.0506144	0.0721907	0.1444223	0.5111005	0.1488831	0.4807105	0.1551549	0.3877400	0.7778817
850	0.4992517	0.0338276	0.0675537	0.1062225	0.6285340	0.1176512	0.6966137	0.2003384	0.4593364	0.8376445
900	0.6115329	0.0230725	0.0553488	0.1160771	0.5489103	0.2026151	0.5818102	0.1889583	0.3226373	0.9440840
950	0.5430256	0.0445070	0.1566264	0.0799823	0.2849670	0.3747747	0.6382734	0.2080121	0.3183260	0.8019496
1000	0.6077832	0.0983466	0.1818020	0.1554520	0.2384794	0.3410521	0.5229676	0.2984310	0.3525521	0.8388970
