name,__glayCluster,,
YGR052W,16,,
YML100W,16,,
YCR011C,16,,
YML101C,16,,
YKL085W,16,,
YJR046W,16,,
YOL031C,16,,
YFL031W,16,,
YAL003W,16,,
YFR041C,16,,
YFL016C,16,,
YGR088W,16,,
YDR214W,16,,
YDR258C,16,,
YGR072W,16,,
YCR012W,16,,
YJL034W,16,,
YLR216C,16,,
YKR066C,16,,
YKR067W,16,,
YBR072W,16,,
YNL156C,16,,
YFR042W,16,,
YOR227W,16,,
YBR101C,16,,
YOL081W,16,,
YGR146C-A,16,,
YOR027W,16,,
YDR085C,16,,
YDR132C,16,,
YPL106C,16,,
YBR169C,16,,
YGR211W,16,,
YOR226C,16,,
YIL050W,16,,
YNL006W,16,,
YBR085C-A,16,,
YMR173W,16,,
YOL030W,16,,
YNL007C,16,,
YNL155W,16,,
YIL051C,16,,
YER103W,16,,
YDL146W,16,,
YAL005C,16,,
YDR084C,16,,
YHR104W,16,,
YGR210C,16,,
YGR087C,16,,
YFL014W,16,,
YKL052C,16,,
YDR171W,16,,
YOR228C,16,,
YJL164C,16,,
YNL160W,16,,
YML006C,16,,
YDL180W,16,,
YDL192W,16,,
YPR160W,16,,
YDR453C,16,,
YJL035C,16,,
YLR258W,16,,
YCL050C,16,,
YPR159C-A,16,,
YDR259C,15,,
YMR016C,15,,
YER045C,15,,
YIR023W,15,,
YJR127C,15,,
YMR017W,15,,
YMR102C,15,,
YNL070W,15,,
YFL004W,15,,
YER034W,15,,
YNL180C,15,,
YGR238C,15,,
YIR018C-A,15,,
YMR122W-A,15,,
YPR149W,15,,
YMR123W,15,,
YMR121C,15,,
YNR028W,15,,
YML115C,15,,
YOR049C,15,,
YEL069C,15,,
YJL029C,15,,
YEL066W,15,,
YPR063C,15,,
YGR019W,15,,
YER046W,15,,
YKR102W,15,,
YMR056C,15,,
YER158C,15,,
YNL178W,15,,
YPL056C,15,,
YPR148C,15,,
YBR025C,15,,
YAL061W,15,,
YMR043W,14,,
YOR372C,14,,
YCR065W,14,,
YML027W,14,,
YJL051W,14,,
YJR092W,14,,
YHR151C,14,,
YMR199W,14,,
YER078C,14,,
YNL056W,14,,
YDR191W,14,,
YLR274W,14,,
YML053C,14,,
YIL158W,14,,
YGR047C,14,,
YMR255W,14,,
YJR091C,14,,
YGR048W,14,,
YHR152W,14,,
YGR092W,14,,
YKL209C,14,,
YML052W,14,,
YGL021W,14,,
YMR001C-A,14,,
YPR113W,14,,
YNL058C,14,,
YGL116W,14,,
YGL040C,14,,
YGR143W,14,,
YMR001C,14,,
YEL032W,14,,
YIL123W,14,,
YHR099W,14,,
YMR002W,14,,
YER079W,14,,
YHR098C,14,,
YLR190W,14,,
YMR253C,14,,
YDR528W,14,,
YPR112C,14,,
YDR190C,14,,
YLR189C,14,,
YKL208W,14,,
YER078W-A,14,,
YOR066W,14,,
YHR005C,14,,
YLR273C,14,,
YJL098W,14,,
YKR042W,14,,
YDL056W,13,,
YNL312W,13,,
YNL077W,13,,
YNL219C,13,,
YGR079W,13,,
YJL073W,13,,
YKR077W,13,,
YPL152W,13,,
YPR175W,13,,
YDL017W,13,,
YAR007C,13,,
YNL218W,13,,
YCL061C,13,,
YPL152W-A,13,,
YMR078C,13,,
YPL014W,13,,
YMR079W,13,,
YPL015C,13,,
YIL140W,13,,
YAR008W,13,,
YHR110W,13,,
