"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
900	0.0193801	0.7485125	0.5041541	0.9999199	1.0000000	0.6454355	0.4865264	0.8778493	0.5882004	0.4384774
950	0.0194005	0.7484989	0.5041541	0.9999199	1.0000000	0.6477706	0.4886172	0.8766342	0.5853260	0.4396077
1000	0.0194092	0.7484933	0.5041541	0.9999199	1.0000000	0.6472768	0.4910824	0.8759885	0.5837794	0.4402474

0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0194231	0.7484833	0.5041553	0.9999365	1.0000000	0.6449778	0.4920626	0.8752191	0.5818977	0.4410279
100	0.0194188	0.7484875	0.5041623	0.9999529	1.0000000	0.6450447	0.4920965	0.8752177	0.5818922	0.4410292
150	0.0194169	0.7484907	0.5041706	0.9999610	1.0000000	0.6450412	0.4921472	0.8752165	0.5818872	0.4410299
200	0.0194161	0.7484938	0.5041767	0.9999643	1.0000000	0.6450148	0.4921767	0.8752154	0.5818835	0.4410304
250	0.0194156	0.7484963	0.5041802	0.9999657	1.0000000	0.6449937	0.4921831	0.8752147	0.5818813	0.4410308
300	0.0194154	0.7484982	0.5041819	0.9999662	1.0000000	0.6449852	0.4921778	0.8752142	0.5818800	0.4410310
350	0.0194152	0.7484994	0.5041827	0.9999663	1.0000000	0.6449853	0.4921711	0.8752139	0.5818793	0.4410312
400	0.0194151	0.7485001	0.5041830	0.9999664	1.0000000	0.6449881	0.4921671	0.8752138	0.5818789	0.4410313
450	0.0194151	0.7485005	0.5041832	0.9999664	1.0000000	0.6449904	0.4921661	0.8752137	0.5818787	0.4410314
500	0.0194150	0.7485007	0.5041832	0.9999664	1.0000000	0.6449913	0.4921665	0.8752137	0.5818786	0.4410314
550	0.0194150	0.7485007	0.5041818	0.9999498	1.0000000	0.6449913	0.4921672	0.8752136	0.5818791	0.4410315
600	0.0194150	0.7485002	0.5041750	0.9999334	1.0000000	0.6449916	0.4921676	0.8752138	0.5818815	0.4410315
650	0.0194150	0.7484986	0.5041667	0.9999254	1.0000000	0.6449931	0.4921680	0.8752144	0.5818849	0.4410314
700	0.0194151	0.7484962	0.5041607	0.9999220	1.0000000	0.6449951	0.4921687	0.8752151	0.5818876	0.4410313
750	0.0194152	0.7484939	0.5041572	0.9999207	1.0000000	0.6449967	0.4921697	0.8752156	0.5818894	0.4410311
800	0.0194153	0.7484921	0.5041555	0.9999202	1.0000000	0.6449976	0.4921708	0.8752160	0.5818904	0.4410310
850	0.0194154	0.7484909	0.5041547	0.9999200	1.0000000	0.6449978	0.4921716	0.8752162	0.5818909	0.4410309
900	0.0194154	0.7484903	0.5041544	0.9999199	1.0000000	0.6449978	0.4921721	0.8752163	0.5818912	0.4410308
950	0.0194155	0.7484899	0.5041542	0.9999199	1.0000000	0.6449977	0.4921723	0.8752164	0.5818913	0.4410307
1000	0.0194155	0.7484897	0.5041542	0.9999199	1.0000000	0.6449977	0.4921724	0.8752164	0.5818914	0.4410307

