"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
150	0.2913269	0.4575928	0.5005561	0.6450567	0.2601172	0.7527737	0.4665798	0.2322309	0.0915052	0.6107112
200	0.3358043	0.4148126	0.4665767	0.4947389	0.2413005	0.8500883	0.5666450	0.1563931	0.0467464	0.5871952
250	0.4616050	0.4020691	0.3979229	0.5368949	0.3188740	0.7128568	0.5897168	0.1373695	0.0526782	0.5024905
300	0.3962003	0.3196997	0.6195975	0.5208543	0.3431197	0.4484313	0.8175094	0.1778804	0.1403078	0.4621871
350	0.3694394	0.4146850	0.4597480	0.6753312	0.2790133	0.3761954	0.7540445	0.0810833	0.1209693	0.6036069
400	0.1739353	0.3209258	0.5744768	0.6633195	0.3332196	0.4887155	0.6868281	0.1634992	0.0836740	0.5351726
450	0.2941610	0.3516076	0.5093888	0.5957500	0.4040887	0.3126372	0.6786803	0.1555299	0.0649276	0.5967729
500	0.2940203	0.3202152	0.3965643	0.5561300	0.3338824	0.3317040	0.6903074	0.1610276	0.0712250	0.5761390
550	0.3807485	0.4011928	0.4463365	0.5320433	0.3531586	0.3177016	0.8481523	0.3117393	0.0587032	0.7756653
600	0.3258159	0.5012141	0.4146552	0.6446665	0.3397615	0.3710405	0.5181111	0.5514350	0.0704803	0.6888558
650	0.3443668	0.3858992	0.5067726	0.5336125	0.4511856	0.4061733	0.3540861	0.5758076	0.0838359	0.6322026
700	0.3133616	0.5427264	0.4522615	0.5691094	0.5086343	0.5805176	0.2895950	0.5709882	0.0518968	0.6547304
750	0.3683848	0.4722060	0.4281831	0.6149392	0.4731252	0.6289541	0.2281208	0.7126588	0.0966650	0.7868161
800	0.3726255	0.4013301	0.4218257	0.7027420	0.3036923	0.5945414	0.2069465	0.5336181	0.0714244	0.7097119
850	0.4720576	0.4802071	0.4895639	0.6414344	0.2695826	0.6994839	0.2206526	0.6646460	0.0815629	0.8482693
900	0.4450500	0.4723601	0.4387707	0.5918620	0.3046257	0.6645839	0.1288964	0.7393021	0.1145510	0.8234729
950	0.3808892	0.3897685	0.5075493	0.6530510	0.3356373	0.7261321	0.2530501	0.7332982	0.0829010	0.7084703
1000	0.4069361	0.4658989	0.4288634	0.5763411	0.3549888	0.7978548	0.1867210	0.6158772	0.0817426	0.6666681
