"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
250	0.7076864	0.1064053	0.0147845	0.7652566	0.7868812	0.5082103	0.6117977	0.7740601	0.6286519	0.3699046
300	0.6333122	0.0634287	0.0042250	0.7410742	0.6859404	0.6068554	0.6820415	0.6447654	0.6708117	0.4827396
350	0.7952310	0.0680618	0.0050933	0.6942354	0.6101968	0.6495721	0.7897655	0.6539059	0.7475279	0.4300187
400	0.7320345	0.0470461	0.0033438	0.5370400	0.5630450	0.6190242	0.7503110	0.7077200	0.6989066	0.4803243
450	0.7291222	0.0461257	0.0047889	0.6725484	0.6239944	0.6269532	0.7376050	0.7453445	0.5985352	0.4825009
500	0.7842246	0.0559452	0.0127793	0.7400833	0.6613187	0.5819733	0.8501932	0.5857787	0.7283015	0.6390101
550	0.7256524	0.0709313	0.0194257	0.7254874	0.7187685	0.3898921	0.5654719	0.7647127	0.6487011	0.5676922
600	0.6496022	0.0784658	0.0075322	0.6280459	0.6707394	0.2551693	0.5157173	0.6264869	0.7279694	0.7041983
650	0.6085909	0.0488024	0.0101938	0.8387565	0.7281357	0.2621382	0.6482910	0.6132392	0.6606965	0.6768620
700	0.6388947	0.0790445	0.0032871	0.6298101	0.7753942	0.3074411	0.6418655	0.7854571	0.6495165	0.7481955
750	0.6983073	0.0518921	0.0064019	0.7622431	0.7280252	0.2639702	0.8170191	0.8491897	0.7117711	0.7295002
800	0.6460165	0.0540069	0.0047110	0.6953597	0.6951038	0.2818279	0.6463734	0.7286136	0.7284113	0.6522398
850	0.6818245	0.0409473	0.0080033	0.7672751	0.7299705	0.4409615	0.8274422	0.8942981	0.6153753	0.5895044
900	0.8570546	0.0818104	0.0035782	0.7988451	0.7201648	0.2191366	0.6850957	0.7176273	0.6533739	0.7731178
950	0.5150929	0.0930728	0.0071963	0.7171037	0.7420869	0.3168936	0.7940583	0.8758412	0.7644519	0.6503686
1000	0.6991599	0.0554102	0.0042558	0.6803562	0.7902394	0.2674650	0.6239388	0.6204590	0.7270091	0.8096315
