"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
900	0.1165946	0.2831124	0.3893773	0.5930755	0.4017207	0.8608665	0.5804492	0.4505923	0.1527403	0.7799850
950	0.1986066	0.2907583	0.5590898	0.7704853	0.4376292	0.7314202	0.7547281	0.3835639	0.1612543	0.6974246
1000	0.1366353	0.3299001	0.3933302	0.8753335	0.4670587	0.7353568	0.6969270	0.2529863	0.0968872	0.7175394

0	0.1968298	0.3576373	0.3377048	0.7949948	0.4633530	0.8105103	0.7839004	0.2648135	0.1683794	0.9150201
50	0.1375978	0.2964773	0.2703424	0.6077412	0.4810400	0.6823993	0.6970393	0.3966240	0.1123694	0.8314847
100	0.1583947	0.3858990	0.1247655	0.6501777	0.6182409	0.7409482	0.7946959	0.3652700	0.2171879	0.7605851
150	0.1870357	0.5328773	0.1823059	0.6089310	0.7230020	0.8318570	0.7810685	0.3721264	0.0934945	0.8037498
200	0.1641482	0.5796378	0.2203288	0.5167036	0.5023780	0.6433512	0.6601012	0.4081828	0.1933564	0.7204752
250	0.1261919	0.5691581	0.1826753	0.7266380	0.5724496	0.6654601	0.7537133	0.4745075	0.1032782	0.8284565
300	0.1926473	0.4807192	0.1994380	0.5510745	0.6590731	0.8265019	0.7713741	0.5700745	0.1160717	0.8056242
350	0.1539940	0.5291085	0.1573166	0.5085860	0.6123583	0.7369830	0.7971556	0.5646250	0.1507844	0.8060795
400	0.2150251	0.5491887	0.1479308	0.5506452	0.5271524	0.6880684	0.7297836	0.6186263	0.1296320	0.7019895
450	0.1026709	0.6447364	0.1582221	0.5679526	0.6663937	0.7779573	0.7945287	0.5497355	0.1891548	0.7036438
500	0.2524083	0.6633798	0.0874124	0.4874377	0.5258045	0.8632848	0.7295258	0.5473128	0.1360314	0.7971942
550	0.1096952	0.4854224	0.3323057	0.5632362	0.4224443	0.7720133	0.7513624	0.6530563	0.1309688	0.6649989
600	0.2326034	0.3836962	0.4948752	0.7094128	0.4671634	0.7096706	0.8079689	0.5551767	0.1732943	0.7871535
650	0.1712735	0.3249217	0.3380920	0.5987448	0.3751063	0.7023303	0.7624972	0.4859288	0.1163028	0.8289715
700	0.1929696	0.3289599	0.3467833	0.6917209	0.3281006	0.7552858	0.8046583	0.4158213	0.0772421	0.6376574
750	0.1776886	0.3403726	0.3031818	0.7202998	0.3137852	0.6912972	0.8255527	0.3401953	0.1746288	0.5967414
800	0.1459045	0.3891788	0.3119406	0.6399995	0.4562994	0.7538287	0.6530120	0.3359094	0.1404058	0.6891191
850	0.1633900	0.3208654	0.3780886	0.7696854	0.5966664	0.6448761	0.7158835	0.3269199	0.1793615	0.7437978
900	0.1669496	0.3221948	0.3722428	0.7688322	0.4879217	0.8852982	0.8222575	0.3190023	0.1049715	0.7251649
950	0.1705150	0.3503221	0.2593254	0.7573202	0.4428505	0.6529480	0.7639092	0.2876764	0.1553668	0.7902820
1000	0.1666093	0.2931907	0.3840170	0.7343833	0.4340062	0.7354002	0.8061858	0.2845562	0.1270041	0.6707688

0	0.1736533	0.3320269	0.3253394	0.7980144	0.4387491	0.7952354	0.7825171	0.3261434	0.1593642	0.8286023
50	0.1674222	0.3259067	0.3846843	0.4255632	0.6320288	0.6296857	0.6101439	0.2586066	0.1084230	0.6777404
100	0.1342558	0.3069961	0.5764726	0.3072871	0.5189071	0.7703325	0.5525332	0.2046230	0.1222946	0.6401375
150	0.1251841	0.2847487	0.6615198	0.2151421	0.4911547	0.6579060	0.6720450	0.3416341	0.2575193	0.6160488
200	0.1400948	0.1612687	0.6468765	0.2819116	0.6245466	0.6529838	0.8529499	0.4000649	0.2931903	0.7539422
250	0.2312480	0.2292029	0.7360583	0.1821056	0.7071405	0.7593995	0.8454127	0.4334923	0.3988520	0.6808293
300	0.2390415	0.2184037	0.8351147	0.1859552	0.6413538	0.8016827	0.8652327	0.6183570	0.3001375	0.6581959
