"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
300	0.0904183	0.1479339	0.0430622	0.7877265	0.0936633	0.2887652	0.9925296	0.8746063	0.7312646	0.2005535
350	0.1010229	0.1516901	0.0504308	0.8560863	0.1031389	0.2741671	1.0283099	0.8593840	0.7700277	0.2457795
400	0.0842759	0.1462706	0.0544293	0.8268823	0.0785377	0.2974483	0.9764754	0.8931822	0.7371589	0.2941355
450	0.1223165	0.1398736	0.0525868	0.8577171	0.0872388	0.3055984	0.9694327	0.9500685	0.7474196	0.3400806
500	0.0869269	0.1407559	0.0491835	0.8364563	0.0720329	0.3450205	0.9662627	0.8886508	0.7155193	0.3303732
550	0.0712168	0.3842589	0.0385124	0.9108098	0.1001677	0.2852698	1.0106695	0.7486017	0.7317401	0.3153150
600	0.1447059	0.5136494	0.0560394	0.9169043	0.1092422	0.3125456	0.9347576	0.8726394	0.7842968	0.3209061
650	0.1829767	0.6622621	0.0369472	0.8173878	0.1332476	0.3115461	0.9542099	0.7656091	0.6929969	0.2822088
700	0.2217532	0.6539693	0.0572657	0.8547076	0.0899142	0.3207418	0.9307173	0.8341107	0.7688439	0.2356636
750	0.3323149	0.7883948	0.0455629	0.9348776	0.1307863	0.3619606	1.0258543	0.8386872	0.8219959	0.2314338
800	0.3551362	0.7708760	0.0387767	0.8221856	0.0946674	0.3712085	0.9457349	0.8887611	0.7613564	0.2072582
850	0.3895944	0.7104260	0.0436533	0.7582071	0.0742828	0.3445150	0.9166725	0.8573785	0.8802670	0.1771213
900	0.4484484	0.7396208	0.0481394	0.8257463	0.1031785	0.3083889	0.9053102	0.8339991	0.8368275	0.2330975
950	0.5323793	0.6626451	0.0540209	0.8577086	0.1213135	0.3860633	0.9222514	0.8006887	0.8034129	0.2453613
1000	0.4997523	0.7044681	0.0690818	0.8974539	0.1080107	0.3752130	0.8413021	0.8102166	0.8248175	0.2175190

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.3837683	0.7472477	0.0360638	0.7503304	0.1108988	0.3173735	1.1130636	0.8551824	0.8496109	0.1763878
100	0.4484961	0.6418075	0.0345029	0.7768900	0.1226159	0.3364873	1.1197877	0.8875537	0.8087155	0.1113093
150	0.4006277	0.5677195	0.0431962	0.6931701	0.0988955	0.3396456	1.0918535	0.9087647	0.9106970	0.1026072
200	0.3954143	0.5797922	0.0525895	0.6702025	0.0826522	0.2940777	1.1027358	0.8493034	0.8658058	0.1135594
250	0.4137100	0.6295011	0.0137660	0.6750188	0.1302994	0.2624342	0.9977434	0.7941452	0.8411361	0.0900429
300	0.3926749	0.6041178	0.0504634	0.7328457	0.0998123	0.2632197	1.0331546	0.9145506	1.0138146	0.0729784
350	0.3389516	0.5881388	0.0495345	0.7150408	0.0757292	0.3201911	1.0219074	0.9742821	0.9103411	0.0455490
400	0.3343156	0.5817313	0.0368757	0.6994850	0.0732265	0.3243024	1.0239205	1.0215059	0.9898728	0.0660557
450	0.3705456	0.5940461	0.0321097	0.7044395	0.0870730	0.3338924	1.0951028	1.0128469	0.9986862	0.0788590
500	0.3969645	0.6131733	0.0698297	0.6933381	0.0965108	0.3528534	1.0555471	1.0309628	0.9638233	0.0476341
550	0.3619713	0.6216339	0.0414439	0.7585749	0.1138540	0.3042667	1.0740629	0.8990540	0.9699744	0.0554259
600	0.3861115	0.6340052	0.0410189	0.7551880	0.0674518	0.3243542	0.9798334	0.9505229	0.9844136	0.0989616
650	0.3649238	0.5450030	0.0338878	0.7742401	0.0773329	0.3492102	1.0839268	0.8881260	0.9083307	0.1624355
700	0.3625399	0.5983292	0.0208836	0.8375561	0.0875206	0.3161513	0.9497385	0.8811749	0.8713098	0.1912576
750	0.4207376	0.5904022	0.0269936	0.8197198	0.0935958	0.3814292	0.9594518	0.9791959	0.8278441	0.1901290
800	0.3874515	0.6014199	0.0403873	0.8771898	0.0743744	0.3309336	0.9591080	1.0154030	0.9307761	0.1941283
850	0.3899379	0.6366109	0.0654469	0.8900426	0.0856438	0.3102785	0.9472611	1.1117629	0.9533485	0.1511225
900	0.3160497	0.6672398	0.0694221	0.8471752	0.0919479	0.3121938	1.0063778	0.9660130	0.8560390	0.1950802
950	0.3684894	0.6528399	0.0369021	0.8199157	0.1037951	0.2844220	1.0317325	0.9460082	0.7967433	0.2277373
1000	0.3809569	0.6381163	0.0129344	0.8350274	0.0827989	0.2772875	0.9997097	0.9161727	0.8398776	0.2231796

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4391061	0.7045329	0.0552644	0.7281905	0.0908339	0.3108090	0.9042725	0.9794415	0.7088625	0.3142450
100	0.4742310	0.6427746	0.0449080	0.6066856	0.0912253	0.3401209	0.9796745	0.9249457	0.7272271	0.2546287
150	0.4527969	0.7216021	0.0438531	0.5845734	0.1095482	0.3494627	0.9894398	0.8459309	0.7236172	0.3026804
200	0.4465001	0.7216262	0.0527963	0.5424613	0.0928502	0.3150540	1.0830265	0.7758365	0.7120375	0.3290956
