"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
400	0.1452741	0.5866502	0.7516248	0.8698671	0.4111232	0.6412490	0.9427814	0.3994650	0.2592726	0.5626275
450	0.1473615	0.6022885	0.8729281	0.9410955	0.3765207	0.6606258	0.8861805	0.4261081	0.3425246	0.5929030
500	0.1894609	0.6982880	0.9332485	0.8862854	0.3567772	0.6122782	0.8844110	0.4273863	0.4158863	0.6920406
550	0.3449543	0.7315407	0.8062271	0.9863214	0.4250405	0.6310281	0.3729410	0.3239161	0.4853518	0.6847526
600	0.3619623	0.8139488	0.8532957	0.9337317	0.3968590	0.5041073	0.2545452	0.3274285	0.5264951	0.7158373
650	0.3797888	0.7188474	0.8631430	0.9057878	0.4171326	0.3921730	0.2118820	0.4125848	0.5747830	0.6852153
700	0.4390054	0.7794197	0.9197753	0.9503876	0.5010221	0.3376490	0.1778518	0.3931497	0.5260514	0.6927715
750	0.4388205	0.7647541	0.8147904	0.8550227	0.6059763	0.2554260	0.2605460	0.4255355	0.5234597	0.7834218
800	0.4255778	0.7344941	0.7449670	0.8163922	0.7575217	0.3149671	0.2491448	0.3776060	0.5803714	0.6872405
850	0.4492495	0.6361019	0.6862110	0.6724297	0.7250152	0.2756755	0.2927657	0.3655121	0.5536028	0.5856871
900	0.3743949	0.6442492	0.7762421	0.7172637	0.7766808	0.2557872	0.2147423	0.4237737	0.4789513	0.5008236
950	0.3064522	0.6367206	0.7669693	0.6495689	0.7835046	0.2283417	0.2239673	0.3503003	0.3814661	0.4710190
1000	0.2413689	0.5380797	0.7047360	0.6359561	0.8222617	0.1998145	0.1767510	0.2586261	0.3440834	0.4692306

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.1231439	0.4304672	0.3670504	0.6408823	0.7869089	0.6924074	0.0821051	0.0299387	0.6359432	0.3148404
100	0.1255792	0.1943729	0.3059686	0.6107453	0.5391127	0.8459783	0.0819153	0.2977412	0.8708050	0.2593600
150	0.0955424	0.1032252	0.2581651	0.7447969	0.4057448	0.8715965	0.1411636	0.5119619	0.9174574	0.3051816
200	0.0743363	0.0630675	0.2936578	0.7972129	0.3002074	0.9220059	0.2758639	0.6194516	0.9479621	0.3622811
250	0.0633181	0.0354372	0.3340221	0.7714201	0.2558326	0.9230057	0.3748471	0.6337390	0.9094836	0.4789012
300	0.1083704	0.0673700	0.3668261	0.9358788	0.2624796	1.0308477	0.4559980	0.7350956	0.9342489	0.5718037
350	0.1037624	0.0994721	0.4215289	0.9817827	0.2390239	1.0189021	0.4216428	0.6828594	0.8940187	0.7873839
400	0.0703125	0.0956123	0.4215788	0.9576541	0.2254969	1.0618229	0.5036291	0.6680254	0.8792545	0.7660278
450	0.0736847	0.1043183	0.4710973	0.9826657	0.1954618	1.0389469	0.4544234	0.6580002	0.9184200	0.6846161
500	0.0882874	0.2017762	0.4916896	0.9998839	0.2243942	1.0490619	0.4953014	0.7214660	0.8514286	0.8303963
550	0.0766589	0.3451817	0.8163877	0.9527699	0.2448840	0.7472424	0.4650330	0.6527268	0.6363103	0.7173955
600	0.1020336	0.5428469	0.8492709	0.9389508	0.2668886	0.6478433	0.3525711	0.5060031	0.5846380	0.8347664
650	0.1536416	0.7406912	0.9693262	1.0189835	0.3071987	0.5128561	0.3429299	0.4447867	0.5713617	0.8963689
700	0.3024579	0.9287096	0.9718320	0.9567479	0.4447389	0.3823427	0.3229035	0.5106086	0.6463947	0.8402523
750	0.4735683	0.8137776	0.9389755	0.8975903	0.5191862	0.3078563	0.2588296	0.4930577	0.7047335	0.7318643
800	0.4511023	0.9117904	0.8353939	0.8550264	0.6324947	0.2552892	0.2529962	0.5748825	0.6987037	0.7236318
850	0.5073465	0.8966927	0.7545878	0.8088823	0.6540397	0.3200707	0.2962616	0.6138353	0.5859133	0.6749557
900	0.5211838	0.7824408	0.6950313	0.8011001	0.6593191	0.3027971	0.3084690	0.5292184	0.5834562	0.7327664
950	0.3867309	0.6782485	0.6093826	0.7371172	0.6941374	0.3372656	0.3019593	0.4604374	0.5159333	0.5478281
1000	0.3008595	0.5756572	0.6846706	0.7498055	0.7121255	0.3165916	0.2923731	0.3782614	0.4234496	0.5242715

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.0849154	0.3125060	0.3285057	0.5711841	0.8606426	0.6591187	0.0974325	0.0835648	0.4940615	0.7631557
100	0.0872782	0.1266914	0.2286102	0.6089324	0.5889304	0.8292379	0.1091194	0.1892123	0.6947966	0.9232406
150	0.0869384	0.0447748	0.2005647	0.6996233	0.4342498	0.8877105	0.1084953	0.3748410	0.7391402	0.7993277
200	0.0650815	0.0117249	0.2306325	0.8151170	0.3125758	0.9053984	0.1834177	0.5659109	0.8441427	0.8617277
250	0.0625832	0.0084203	0.3217132	0.9177309	0.2822542	0.9504856	0.2177755	0.7306475	0.8814936	0.8893016
300	0.1109246	0.0223618	0.3212305	0.9836675	0.2734960	0.9870883	0.3166737	0.7743318	0.9027787	0.8737381
350	0.0829525	0.0418476	0.3804694	1.0655901	0.2721229	1.0149585	0.4471211	0.7257544	0.8756038	0.9370249
400	0.0985035	0.0674987	0.4637723	0.9923369	0.2228449	1.0299927	0.5186841	0.7480921	0.9316634	1.0041180
450	0.1132457	0.1138163	0.4547390	1.0813785	0.2169129	0.9777228	0.4673237	0.8062163	0.9709606	0.9987127
500	0.0966800	0.0772940	0.4480185	0.8763250	0.2446608	1.0176633	0.5653383	0.8008866	1.0227919	0.9575795
550	0.0878148	0.1448134	0.7382048	0.9750385	0.2670362	0.7864663	0.5280598	0.8568881	0.8717447	0.7400427
600	0.0613194	0.4830757	0.9575042	0.8918071	0.2570176	0.6257885	0.4876358	0.7667556	0.7106459	0.6592221
650	0.1256466	0.8399779	0.9705185	0.8959913	0.3056423	0.5649645	0.5054345	0.6975640	0.5782396	0.6671402
700	0.3670379	0.8286825	0.9868497	0.9348066	0.4207547	0.5281098	0.4576989	0.5691199	0.5649171	0.7633476
750	0.4308239	0.7949597	1.0303311	0.9136004	0.4597035	0.4810480	0.4092413	0.5226308	0.5770317	0.7693175
800	0.5442174	0.8999493	1.0447187	0.8581326	0.4672967	0.5651453	0.3640403	0.4758078	0.6036916	0.7039524
850	0.5917699	0.9099675	0.8880733	0.8067908	0.4649162	0.4640367	0.3464467	0.4365272	0.5822341	0.6694409
900	0.5848747	0.8731151	0.8083099	0.8907038	0.6157541	0.3709616	0.2780742	0.5175573	0.5284961	0.6373575
950	0.6148381	0.8203256	0.7384306	0.8920571	0.5794399	0.3209191	0.3036678	0.4372524	0.5820643	0.7549284
1000	0.4850026	0.8052420	0.6953737	0.8609696	0.6359462	0.3306147	0.3358793	0.4420541	0.5515638	0.7376047
