"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
500	0.1744647	0.0135600	0.7420108	0.3081033	0.3878837	0.9451817	0.1184169	0.1931740	0.6640710	0.5097815
550	0.1692717	0.0067761	0.7729812	0.5455279	0.5110231	0.8948976	0.1126988	0.1951473	0.6461429	0.5302260
600	0.1432018	0.0030928	0.7795914	0.6058355	0.7622598	0.9332067	0.1256565	0.2331538	0.6385496	0.5133748
650	0.1419029	0.0022880	0.7502278	0.4697015	0.8094713	0.9245777	0.1412118	0.3067440	0.7501426	0.5246407
700	0.1461518	0.0024042	0.7872862	0.4428275	0.8832066	0.9930084	0.1786771	0.3056694	0.7747088	0.5520230
750	0.1293086	0.0101704	0.9300489	0.5155842	0.8235029	0.8662106	0.1353160	0.2907433	0.7710888	0.5205201
800	0.1223633	0.0102201	0.8526770	0.4826913	0.7832271	0.9549430	0.1182282	0.2718585	0.7974897	0.4702297
850	0.1372138	0.0056950	0.8549870	0.4782714	0.8721608	1.0213187	0.0832485	0.3204618	0.6717999	0.4851645
900	0.1393967	0.0053394	0.8521244	0.4010891	0.8000470	0.9981385	0.0624053	0.2734937	0.6702946	0.4551755
950	0.1440225	0.0028657	0.8492831	0.4021918	0.8352725	1.0304940	0.0573842	0.2874740	0.7577714	0.4355925
1000	0.1020524	0.0047148	0.9096128	0.5039426	0.8332262	1.0879951	0.0432169	0.3406329	0.7048955	0.3950292

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1178908	0.0071555	0.6657340	0.5589575	0.6765020	0.7270851	0.0381929	0.3991214	0.7433295	0.4585828
100	0.1506539	0.0071438	0.5210708	0.5069672	0.7067323	0.4040361	0.0332941	0.3332965	0.8781006	0.4372560
150	0.1438460	0.0077554	0.3654542	0.5984912	0.7480854	0.2497387	0.0338224	0.3087791	1.0710870	0.5834403
200	0.1597989	0.0600072	0.2946174	0.4461494	0.7650710	0.1614173	0.0224785	0.3037883	0.9653791	0.7172408
250	0.3163943	0.1137617	0.2905609	0.5489213	0.8417398	0.1181291	0.0070407	0.3354116	0.9484522	0.7580709
300	0.5554491	0.1579951	0.3008772	0.4195764	0.8885446	0.0866941	0.0073876	0.3456427	1.0435331	0.8077469
350	0.7056038	0.2100739	0.3007989	0.3619821	0.8592776	0.1044795	0.0017631	0.3332621	0.9699155	0.8073883
400	0.7033183	0.1754947	0.3390779	0.3864397	0.7988160	0.0881625	0.0000000	0.3026088	1.0184527	0.7762197
450	0.7939168	0.1681795	0.3472747	0.4515479	0.8820645	0.0928679	0.0027766	0.2797601	1.0920833	0.8283806
500	0.8763081	0.1450786	0.3398665	0.4423708	0.8753116	0.1158444	0.0010981	0.2497315	1.1182548	0.8293530
550	0.8913524	0.0861227	0.4782033	0.4257748	0.8195265	0.3269547	0.0613038	0.2804464	1.0303146	0.7876986
600	0.6691453	0.0336180	0.7487155	0.4410762	0.7985038	0.5914030	0.0694609	0.2998554	0.9597849	0.6492803
650	0.4339189	0.0275233	0.7728403	0.4324119	0.8835089	0.8331354	0.0989280	0.3141896	0.8186001	0.5842020
700	0.3247171	0.0234042	0.8483155	0.4396599	0.9963907	0.9501836	0.1023664	0.3483778	0.7509045	0.4688989
750	0.2616404	0.0108345	0.8757048	0.3350789	0.8696631	0.8361175	0.1065245	0.3631626	0.8207175	0.4214605
800	0.1620646	0.0081768	0.8697908	0.3394955	0.7698966	0.7940951	0.1251327	0.3765650	0.6806040	0.3910892
850	0.1207479	0.0089623	0.8881656	0.3887460	0.7504422	0.8641041	0.0981291	0.3979494	0.7029348	0.3824957
900	0.1006963	0.0129637	0.8405292	0.4257785	0.7482086	0.9126949	0.0872682	0.4131995	0.6195475	0.4542071
950	0.1016298	0.0041954	0.8711162	0.4436670	0.8192332	0.9834341	0.1057108	0.3681877	0.6640344	0.4885435
1000	0.1145261	0.0009008	0.8494151	0.4553515	0.7901768	0.9227495	0.1332204	0.3525861	0.6429712	0.5373028

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.2218436	0.0041408	0.7424738	0.3853831	0.5771575	1.0010969	0.0675590	0.4479113	0.5619419	0.3300780
100	0.3991752	0.0111071	0.7805039	0.2864954	0.3515745	1.0221979	0.0458224	0.4176750	0.6036817	0.3607181
150	0.4644551	0.0148767	0.6682999	0.2694733	0.1816650	1.0573985	0.0246446	0.3919897	0.5293202	0.4412886
200	0.4954215	0.0102162	0.6455314	0.3781600	0.0957255	1.0231389	0.0081767	0.4554951	0.5674249	0.5312800
250	0.5317198	0.0079295	0.6794299	0.3493963	0.0616296	0.9566101	0.0112878	0.3928552	0.7145355	0.5282316
300	0.5090275	0.0129369	0.6138290	0.4253233	0.0569460	0.9416729	0.0020003	0.4405885	0.6735882	0.5455794
350	0.5314919	0.0087312	0.6015423	0.3875971	0.0389969	0.9870617	0.0057731	0.4356968	0.6822644	0.5647560
400	0.5874351	0.0101502	0.6058209	0.3923384	0.0566453	0.9521169	0.0003702	0.4498098	0.7478920	0.5248134
450	0.6440516	0.0310638	0.4897065	0.4421810	0.0398202	0.9173276	0.0019392	0.4162177	0.7659446	0.5816008
500	0.6162471	0.0134230	0.4602018	0.3828905	0.0366113	0.9436845	0.0010909	0.3630673	0.8229810	0.5857666
550	0.4398799	0.0261479	0.5690014	0.7142175	0.2302434	0.9381840	0.0367754	0.3618388	0.8558906	0.6596998
600	0.3710355	0.0177115	0.5978828	0.7314668	0.4581343	0.9232257	0.0699590	0.2873582	0.7910578	0.6776914
650	0.2950478	0.0162254	0.5167373	0.7316820	0.6951335	0.9333879	0.0801578	0.3224383	0.9165965	0.6537263
700	0.1710538	0.0019823	0.5030804	0.5589509	0.8031076	0.9390723	0.0891791	0.3110152	0.8798375	0.6138150
750	0.1448843	0.0320982	0.5374517	0.5092867	0.7805753	0.9349225	0.1083589	0.3366869	0.8156760	0.7334081
800	0.2047971	0.0238973	0.6622062	0.5345352	0.7244853	1.0407773	0.1057893	0.3288080	0.7972105	0.7370245
850	0.1932975	0.0202617	0.7787014	0.4575259	0.7831285	0.9933350	0.0929169	0.3217220	0.8199099	0.6837678
900	0.2011225	0.0123843	0.9113132	0.4460249	0.7819714	1.0512413	0.1146988	0.3308664	0.7997442	0.5817391
950	0.1659655	0.0087930	0.9412493	0.4450820	0.8713298	1.0213863	0.1354218	0.3401936	0.6962505	0.4662701
1000	0.1103968	0.0023393	0.8467836	0.4452433	0.7980365	1.0985388	0.1102937	0.3536560	0.6070941	0.4546087

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.3932378	0.0057265	0.8050624	0.4534892	0.7134972	0.8951300	0.1082423	0.3959531	0.7077262	0.3266732
100	0.5564287	0.0034476	0.8414810	0.4055768	0.6957522	0.5274268	0.0995855	0.3923461	0.8143596	0.2852709
150	0.6331316	0.0092206	0.8036143	0.3808070	0.7506026	0.3632114	0.0909333	0.4065510	0.8315741	0.1798233
200	0.7323733	0.0008448	0.8763397	0.3445399	0.8392288	0.2212377	0.1075444	0.3830491	0.9018963	0.1562189
250	0.8061375	0.0053880	0.8576770	0.3479061	0.7403929	0.2542406	0.0727002	0.3598166	0.8894573	0.1429048
300	0.8445270	0.0001538	0.9241452	0.3416561	0.8014683	0.2494239	0.1064962	0.3556670	0.8772572	0.1644476
350	0.7840470	0.0034558	1.0291677	0.3022371	0.7937604	0.2666543	0.0921065	0.3440411	0.9154697	0.1504405
400	0.7942687	0.0033666	0.9797023	0.3139146	0.7831669	0.2497206	0.0851260	0.3242452	0.9134774	0.1294395
450	0.7666756	0.0044436	0.9696974	0.2937143	0.8607366	0.2422590	0.0742712	0.3364924	0.7647645	0.1039804
500	0.8107296	0.0005287	1.0301354	0.3114723	0.8477456	0.2342315	0.1027679	0.3703845	0.7158095	0.1040840
550	0.5873936	0.0047035	1.0785030	0.4070882	0.7761827	0.4154841	0.1040458	0.3623445	0.5248911	0.1715706
600	0.3361012	0.0025533	0.9514277	0.4724398	0.7189355	0.6470692	0.1005472	0.4060690	0.4345247	0.2621042
650	0.2374473	0.0067843	0.8281842	0.6283590	0.6784058	0.7735845	0.0509997	0.4064047	0.4314704	0.3737545
700	0.1530996	0.0050855	0.7384602	0.5629720	0.7386639	0.9087612	0.1109155	0.4330841	0.5078653	0.4391437
750	0.1584719	0.0088910	0.6908748	0.5394829	0.7889100	0.9474343	0.0929561	0.3864663	0.6081533	0.4875459
800	0.1507383	0.0079319	0.7681117	0.4730654	0.8363983	0.9145381	0.0763169	0.4246990	0.5981725	0.5652133
850	0.1463806	0.0136826	0.7860796	0.4720735	0.8157078	1.0228125	0.0961918	0.3669985	0.6285004	0.5541222
900	0.1652684	0.0134624	0.8000939	0.5170288	0.7702550	1.0678810	0.1081493	0.3844332	0.6506052	0.4852578
950	0.1926970	0.0146341	0.7784825	0.5000565	0.7633591	1.1394201	0.1186189	0.3950602	0.7260782	0.4998932
1000	0.1529458	0.0126998	0.7144936	0.4429374	0.7450905	1.1096452	0.1064344	0.3962910	0.6300375	0.3809045
