"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
950	0.7414305	0.3079262	0.5991253	0.5013225	0.1287644	0.0783392	0.1971247	0.7237288	0.6547756	0.7390815
1000	0.6121658	0.4384121	0.6510506	0.4709519	0.1588094	0.0604490	0.2554344	0.6451041	0.6371497	0.9684906

0	0.9186365	0.3438765	0.5472249	0.5396840	0.2452350	0.1669276	0.1508032	0.7175924	0.5933359	0.8221883
50	0.6474857	0.4128454	0.5375969	0.4504642	0.2690328	0.0507400	0.2621150	0.5768439	0.5924109	0.7927905
100	0.8716144	0.4318979	0.6019940	0.4067691	0.1548649	0.1364695	0.2057160	0.6919425	0.6189377	0.8030323
150	0.7323296	0.3699557	0.6334364	0.6340643	0.2122891	0.1130674	0.3148751	0.5870440	0.5879921	0.7446782
200	0.6204409	0.3946717	0.5500428	0.4691750	0.2644196	0.1413190	0.2816675	0.6741499	0.5565088	0.6130574
250	0.7734961	0.3833451	0.7387940	0.4202391	0.2874312	0.1169830	0.2371573	0.6297108	0.5327872	0.6588108
300	0.6143571	0.4404754	0.7267506	0.5252163	0.3388552	0.1764123	0.2861293	0.7158898	0.4850045	0.8180864
350	0.7772433	0.4363365	0.6025718	0.4356027	0.3222825	0.1334912	0.3019308	0.7612736	0.6975667	0.6962898
400	0.6572466	0.3524179	0.6501556	0.4366558	0.3106851	0.0563262	0.2284584	0.6224779	0.6093031	0.8398570
450	0.6589674	0.3847336	0.5501262	0.5411668	0.2862985	0.1420275	0.2272564	0.7160690	0.6665601	0.6765620
500	0.7216122	0.4508559	0.5570956	0.5163946	0.4074863	0.1284069	0.2283981	0.6810512	0.5046829	0.7338828
550	0.7234250	0.3657324	0.5554627	0.6031742	0.2527902	0.0519339	0.1542907	0.7264711	0.5187242	0.7343928
600	0.8707608	0.3826312	0.5881908	0.5438876	0.2895132	0.1164021	0.2006488	0.7911887	0.4702522	0.6220262
650	0.8709570	0.4597088	0.6426589	0.5250001	0.2283598	0.0763117	0.2197748	0.5847159	0.5349777	0.6358270
700	0.7329375	0.3351387	0.6011606	0.5318892	0.2144715	0.0996868	0.2036672	0.6186320	0.4940791	0.7756567
750	0.6683220	0.4264030	0.5760432	0.4881269	0.2074280	0.1278656	0.1953981	0.7383813	0.6472769	0.8208895
800	0.6259529	0.2979636	0.7496993	0.6760243	0.3055289	0.0864998	0.2161144	0.6560846	0.6314472	0.8794223
850	0.8294795	0.3796469	0.5692579	0.5650393	0.2485039	0.0868580	0.2483657	0.7840332	0.4906606	0.9272066
900	0.7424691	0.3485789	0.6339430	0.5647080	0.2135817	0.0810837	0.2123576	0.6374189	0.5665533	0.7815473
950	0.6856373	0.3972294	0.5511924	0.5689999	0.1701753	0.0985651	0.2376967	0.7346475	0.5853920	0.9407291
1000	0.8253544	0.4701472	0.6979331	0.5461257	0.2413871	0.1097039	0.2165988	0.8780280	0.5147573	0.7637729
