"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
900	0.1809132	0.3862238	0.5535091	0.7148252	0.4057448	0.8239174	0.0514788	0.0866718	0.0185800	0.8271843
950	0.1263662	0.3838481	0.5788835	0.7111665	0.5838694	0.7102306	0.0285585	0.0813734	0.0345084	0.6761860
1000	0.2530887	0.3125120	0.6194580	0.8214781	0.5386215	0.6938447	0.0291698	0.1127311	0.0443923	0.7110173

0	0.1393877	0.3664118	0.4967113	0.7864209	0.3589778	0.6617834	0.0426533	0.0646855	0.0195081	0.8189735
50	0.2886956	0.1268830	0.5601069	0.7846608	0.3939504	0.8213333	0.0538841	0.0622123	0.0286889	0.7608928
100	0.4275297	0.1391845	0.3822747	0.6455548	0.5249766	0.7493899	0.0331364	0.0503363	0.0717520	0.7322849
150	0.5161863	0.1815188	0.4904174	0.7112057	0.3775383	0.8197983	0.0220801	0.0855885	0.0271891	0.6846229
200	0.4274780	0.1535471	0.5313890	0.7565981	0.5095391	0.7942173	0.0686872	0.1329266	0.0515523	0.6370457
250	0.6728245	0.1912932	0.4109452	0.7763802	0.4344869	0.6105757	0.0366652	0.1195708	0.0871303	0.7155502
300	0.4877901	0.1378882	0.5290218	0.7241492	0.3729905	0.7987706	0.0294283	0.1421551	0.1137479	0.7303458
350	0.5251696	0.1914059	0.4904225	0.6703882	0.4192337	0.7552283	0.0272961	0.0996702	0.0534083	0.6812854
400	0.5732594	0.2216160	0.4681985	0.7511908	0.4156102	0.7362548	0.0422841	0.0929651	0.0631105	0.7256995
450	0.4754020	0.1147596	0.4518704	0.7275065	0.4382618	0.7195258	0.0433814	0.1415404	0.0759226	0.6857733
500	0.5036315	0.1629838	0.5549637	0.7030528	0.5283287	0.7427146	0.0703157	0.0891234	0.0343668	0.9444106
550	0.4891518	0.2380883	0.5305284	0.6630436	0.4492094	0.6549338	0.0341200	0.1090573	0.0719256	0.7689342
600	0.3316781	0.3002731	0.4524916	0.7566410	0.5327880	0.7086266	0.0556984	0.1334584	0.0446942	0.8024870
650	0.2325606	0.2748985	0.4976964	0.7801252	0.4226334	0.7164671	0.0591323	0.0990518	0.0468444	0.5980272
700	0.2422593	0.3240764	0.5614934	0.7234682	0.4933223	0.6860959	0.0795346	0.0607648	0.0368668	0.8467279
750	0.1200343	0.3956551	0.4538840	0.7461223	0.4042107	0.7261931	0.0421566	0.0604599	0.0481754	0.6837024
