"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
200	0.7458796	0.6100894	0.4911633	0.4714196	0.0702937	0.0867643	0.5060248	0.5723560	0.2520545	0.7267812
250	0.7936721	0.6762389	0.6187784	0.4519481	0.1145289	0.0956019	0.5011699	0.7032463	0.2314711	0.6912742
300	0.7104278	0.5948063	0.5689219	0.4377712	0.0594653	0.1151107	0.4263486	0.6138708	0.3308799	0.8279899
350	0.6627361	0.5473619	0.5045204	0.5033210	0.1450292	0.1037414	0.3715380	0.5407881	0.3579942	0.6924143
400	0.7588302	0.6178404	0.5316884	0.5308963	0.2152185	0.0657351	0.4912111	0.6526416	0.2227075	0.6987044
450	0.7796090	0.6298121	0.5316648	0.4677907	0.1399194	0.0869824	0.3780245	0.6347911	0.2765571	0.9021387
500	0.7988999	0.6665290	0.5757937	0.4920535	0.2340764	0.1038684	0.4884603	0.7430151	0.2668935	0.8630586
550	0.6576185	0.6325787	0.4739190	0.3200509	0.1726200	0.0524938	0.4582758	0.6935355	0.2099280	0.6885749
600	0.7758383	0.6814749	0.5141764	0.2118844	0.1363549	0.1005280	0.4974529	0.6666701	0.2611025	0.8214766
650	0.6952119	0.7051489	0.4517995	0.1881171	0.1652277	0.0550350	0.5192143	0.7391346	0.2891267	0.7157287
700	0.7957652	0.7043703	0.3503552	0.2065206	0.1031011	0.0961155	0.6076634	0.6841192	0.2488325	0.7859402
750	0.6372988	0.5611487	0.4374612	0.0878452	0.0887510	0.1056843	0.4249443	0.7367103	0.2912913	0.8138947
800	0.6917494	0.6619714	0.2661853	0.0990612	0.1341836	0.0805174	0.5490252	0.6367117	0.2466504	0.6927062
850	0.8291013	0.5485576	0.2945343	0.1659608	0.1410643	0.0940596	0.5393877	0.6676680	0.2806814	0.7257578
900	0.7935265	0.8275641	0.2958818	0.1208167	0.1421016	0.0812596	0.6166608	0.6660672	0.2873697	0.8531858
950	0.8238690	0.6557780	0.2819865	0.1250276	0.1095120	0.1127594	0.6425392	0.7122800	0.3557244	0.7728758
1000	0.6773247	0.7129141	0.3829316	0.1410205	0.1665131	0.0963794	0.6522371	0.6840833	0.1885551	0.8484885

0	0.8387437	0.6569735	0.2387616	0.1355420	0.1217499	0.0549886	0.5428341	0.6919238	0.3082036	0.6917930
50	0.6971132	0.7016510	0.3122637	0.3120415	0.1490580	0.0744615	0.4913001	0.4853298	0.3106152	0.6715762
