"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
1000	0.6542826	0.7404596	0.6944591	0.1399316	0.3480294	0.4760503	0.3755009	0.1610905	0.8794174	0.0326263

0	0.8081392	0.8029235	0.5625508	0.3041633	0.2850478	0.5370494	0.4983648	0.1241762	0.8540585	0.0135551
50	0.5352764	0.5454925	0.6388764	0.1406808	0.3803701	0.4907614	0.4105515	0.0960334	0.7015411	0.0206328
100	0.4067170	0.4635644	0.4422291	0.1189484	0.3742798	0.4695137	0.4060848	0.1274443	0.6934801	0.0242907
150	0.3453357	0.4750306	0.3973222	0.1165363	0.5767458	0.4389714	0.4942114	0.1023184	0.7116991	0.0351951
200	0.1868294	0.2576995	0.4612802	0.0841996	0.4901207	0.4997445	0.4070839	0.1112863	0.6825614	0.0363486
250	0.2382725	0.2445476	0.4559500	0.1047484	0.5075161	0.2967418	0.3760832	0.1790990	0.6436403	0.0408714
300	0.1980007	0.2319028	0.3866185	0.0309032	0.4183630	0.4186913	0.3282611	0.1153861	0.6897829	0.0614811
350	0.2535878	0.1610613	0.3871619	0.0307473	0.4081959	0.4767574	0.4547821	0.1348230	0.8050506	0.0460918
400	0.3102768	0.1011748	0.4641443	0.0664070	0.5186730	0.5080273	0.3709907	0.1858499	0.5675947	0.0483697
450	0.3066082	0.2059656	0.3444289	0.0317603	0.4730281	0.5865892	0.4064544	0.1865547	0.6455011	0.0767490
500	0.3595820	0.1643010	0.3756861	0.0430989	0.4551491	0.4802194	0.4265629	0.1453405	0.8189318	0.0569583
550	0.4565096	0.1521794	0.6359750	0.0689424	0.4191694	0.5050602	0.3179308	0.1784552	0.6567233	0.0402369
600	0.5136158	0.2956738	0.5648511	0.1153783	0.3392341	0.7089375	0.4677785	0.1174884	0.5472578	0.0681191
650	0.6295015	0.5044326	0.6175367	0.0601200	0.4608466	0.6460586	0.3789915	0.1699172	0.8288235	0.0417202
700	0.6013110	0.5286511	0.6773000	0.0659896	0.3676411	0.4818262	0.4229820	0.0802620	0.6924366	0.0156146
750	0.6448167	0.6013720	0.7723690	0.0890005	0.3361238	0.6204712	0.3952679	0.1125062	0.6482981	0.0232938
800	0.6226605	0.6489001	0.6596140	0.1900995	0.3648260	0.6594764	0.3797691	0.1003447	0.6250598	0.0262335
850	0.8202573	0.7653029	0.8246995	0.1069529	0.4624362	0.5608630	0.3353428	0.0964437	0.7251191	0.0163415
900	0.8769709	0.7929700	0.6224040	0.1271534	0.3978077	0.3815311	0.5091209	0.1557424	0.7193592	0.0123056
950	0.7991111	0.7516749	0.7922955	0.1648212	0.3001980	0.4861802	0.3700015	0.1110805	0.7986394	0.0146027
1000	0.7851176	0.7214918	0.7588051	0.2115955	0.2655634	0.4241424	0.4948314	0.0902357	0.6756367	0.0069805

0	0.7414757	0.6784657	0.5804444	0.3414462	0.3103109	0.7424027	0.4017025	0.0832694	0.8485423	0.0477133
50	0.7413857	0.6748008	0.6401233	0.2457057	0.2758250	0.4758018	0.4543847	0.0827135	0.6768892	0.0559567
100	0.7033327	0.5864745	0.4162394	0.2769015	0.2213270	0.3096322	0.5825383	0.0791018	0.6674714	0.0465643
150	0.7366987	0.5764250	0.2395333	0.3740997	0.1569378	0.3315858	0.4542010	0.0872944	0.7285391	0.0947975
200	0.7164773	0.5329408	0.2293768	0.3807642	0.1380020	0.2866196	0.3799418	0.0570611	0.8061518	0.0921546
250	0.8021631	0.4077596	0.1909446	0.6064364	0.0568404	0.2698192	0.4315106	0.0413764	0.8431678	0.1753593
300	0.7496473	0.2622678	0.1476615	0.6905894	0.1508967	0.3799830	0.5483808	0.0284420	0.7621527	0.2384768
350	0.7763908	0.1743412	0.0797386	0.5524080	0.0793361	0.3817109	0.5567331	0.0166548	0.7058081	0.3035645
400	0.7586853	0.1189228	0.0908211	0.8272141	0.1567334	0.3404664	0.6801753	0.0553470	0.5974691	0.4773850
450	0.6059685	0.0589361	0.0809207	0.7247391	0.0820720	0.2425339	0.8045182	0.0247440	0.7150070	0.4652889
500	0.6455731	0.0586674	0.1511147	0.6154796	0.1160273	0.2989715	0.6360349	0.0148531	0.5946686	0.5055018
550	0.7415198	0.1132155	0.2995141	0.6928858	0.1352418	0.4544886	0.5656386	0.0281920	0.5180311	0.4806999
600	0.8392650	0.2309865	0.3981674	0.8036284	0.1165952	0.3881326	0.5950192	0.0309545	0.4862247	0.3494496
650	0.7401517	0.5157764	0.3570962	0.5142692	0.2620473	0.5637464	0.5545127	0.0291311	0.5970476	0.1695607
700	0.6501857	0.5660643	0.2822830	0.4771568	0.3241761	0.5187267	0.5047258	0.0313122	0.6283091	0.0896327
750	0.6153684	0.5590782	0.3651257	0.2908468	0.4414215	0.5546984	0.5335461	0.0592947	0.7057894	0.0854936
800	0.7001921	0.4489217	0.6028941	0.1851723	0.5031287	0.4549897	0.5436568	0.1026244	0.8965870	0.1047802
850	0.7422632	0.6728481	0.6043173	0.1635805	0.3073560	0.4849747	0.6250867	0.1227589	0.7123325	0.0486603
900	0.6697902	0.6147721	0.7542767	0.2399273	0.3191680	0.3594797	0.4149382	0.1972129	0.7238727	0.0711708
950	0.7175276	0.5099670	0.7811323	0.3141114	0.1781667	0.4519306	0.4643232	0.1074930	0.7770901	0.0269115
