"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
950	0.2129371	0.9940456	0.7027105	0.4194705	0.6614737	0.9997814	0.2341782	0.4699583	0.9996786	1.0000000
1000	0.2131793	0.9931926	0.6757619	0.4174294	0.6619660	0.9997518	0.2347138	0.4697382	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.2141223	0.9933315	0.6248866	0.3330641	0.6741432	0.8999991	0.2357570	0.4688853	0.9996786	1.0000000
100	0.2136590	0.9960793	0.5361031	0.2706187	0.6591161	0.8468701	0.2357422	0.4689476	0.9996786	1.0000000
150	0.2130632	0.9973093	0.4143933	0.2562998	0.6303707	0.8266263	0.2356994	0.4691742	0.9996786	1.0000000
200	0.2126515	0.9971591	0.3225977	0.2638812	0.6069186	0.8145367	0.2355850	0.4694811	0.9996786	1.0000000
250	0.2125410	0.9959754	0.2770975	0.2765203	0.5898154	0.7963951	0.2354176	0.4697304	0.9996786	1.0000000
300	0.2127078	0.9944748	0.2675149	0.2886734	0.5733119	0.7752742	0.2352569	0.4698365	0.9996786	1.0000000
350	0.2130132	0.9934901	0.2791496	0.3006328	0.5569420	0.7672295	0.2351579	0.4697904	0.9996786	1.0000000
400	0.2132782	0.9933375	0.3020642	0.3119487	0.5466590	0.7737636	0.2351427	0.4696511	0.9996786	1.0000000
450	0.2133930	0.9938179	0.3295311	0.3197563	0.5455214	0.7856286	0.2351943	0.4695066	0.9996786	1.0000000
500	0.2133499	0.9945714	0.3547747	0.3220913	0.5509003	0.7959916	0.2352709	0.4694235	0.9996786	1.0000000
550	0.2135515	0.9864659	0.3923921	0.4184445	0.5390792	0.9019227	0.2353318	0.4694061	0.9996786	1.0000000
600	0.2149614	0.9803442	0.4989984	0.4902586	0.5622914	0.9613003	0.2353786	0.4691796	0.9996786	1.0000000
650	0.2162778	0.9818098	0.6171067	0.4969457	0.6005074	0.9852327	0.2355259	0.4685237	0.9996786	1.0000000
700	0.2165013	0.9858689	0.6942460	0.4749956	0.6296219	0.9944085	0.2358508	0.4678603	0.9996786	1.0000000
750	0.2159261	0.9892848	0.7241453	0.4512910	0.6466006	0.9978325	0.2362236	0.4676107	0.9996786	1.0000000
800	0.2151428	0.9913296	0.7215444	0.4347380	0.6552199	0.9990890	0.2364521	0.4677821	0.9996786	1.0000000
850	0.2145003	0.9922412	0.7041097	0.4251927	0.6592367	0.9995325	0.2364634	0.4681563	0.9996786	1.0000000
900	0.2140996	0.9924266	0.6842409	0.4202731	0.6609975	0.9996689	0.2363129	0.4685328	0.9996786	1.0000000
950	0.2139140	0.9922291	0.6678288	0.4179246	0.6617275	0.9996898	0.2361007	0.4688106	0.9996786	1.0000000
1000	0.2138761	0.9918877	0.6563039	0.4168698	0.6620087	0.9996714	0.2359061	0.4689698	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.2142197	0.9907735	0.6260150	0.3395176	0.6620915	0.9995788	0.2389100	0.2542282	0.9997036	1.0000000
100	0.2142574	0.9902563	0.5450446	0.2830237	0.6620766	0.9994397	0.3634721	0.0948716	0.9997202	1.0000000
150	0.2144294	0.9878456	0.4323812	0.2635478	0.6619624	0.9985414	0.5597364	0.0359780	0.9997253	1.0000000
200	0.2150564	0.9816680	0.3397683	0.2581130	0.6613020	0.9942382	0.6980226	0.0170028	0.9997266	1.0000000
250	0.2165917	0.9704694	0.2801575	0.2571682	0.6583662	0.9792567	0.7657377	0.0111468	0.9997269	1.0000000
300	0.2194031	0.9551819	0.2471154	0.2587623	0.6489382	0.9466009	0.7936289	0.0093554	0.9997270	1.0000000
350	0.2234366	0.9391914	0.2323685	0.2643799	0.6284018	0.9038511	0.8041415	0.0087895	0.9997270	1.0000000
400	0.2280446	0.9266762	0.2321179	0.2763362	0.5984124	0.8723147	0.8079185	0.0085840	0.9997270	1.0000000
450	0.2321513	0.9210862	0.2468771	0.2942281	0.5704276	0.8707145	0.8092446	0.0084832	0.9997270	1.0000000
500	0.2346245	0.9239625	0.2768154	0.3121459	0.5591449	0.8987913	0.8097108	0.0084195	0.9997270	1.0000000
