"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
550	0.9117228	0.2209224	0.3161421	0.7535349	0.3413602	0.6485422	0.1631081	0.0166998	0.8409047	0.2311705
600	0.8577435	0.5445262	0.2951604	0.8838331	0.2071249	0.7966976	0.3603838	0.0241954	0.8797308	0.3534909
650	0.6223212	0.6712457	0.2092734	1.0125120	0.3237854	0.6700025	0.6045847	0.0250696	0.5971297	0.4496261
700	0.4149581	0.6335268	0.1842951	0.9836826	0.4758689	0.5444240	0.7200786	0.0319304	0.4101193	0.3922063
750	0.3911889	0.4346084	0.1301506	1.0326454	0.5456847	0.4557878	0.5407701	0.0465061	0.4689299	0.4033102
800	0.5356923	0.2522526	0.0946235	1.0150691	0.5183980	0.4259181	0.4649559	0.0286540	0.6274930	0.2737433
850	0.7597221	0.1810084	0.0970440	0.9550501	0.4583560	0.4750399	0.3776614	0.0285623	0.6031009	0.2544263
900	0.8019710	0.1715535	0.1190278	0.9811838	0.4204704	0.6113957	0.4055816	0.0461492	0.6537416	0.2625258
950	0.7798406	0.2653080	0.1168699	0.9964056	0.4745558	0.5805412	0.3026008	0.0218834	0.7403956	0.3486098
1000	0.7962815	0.1930333	0.1481277	0.9806405	0.4478161	0.6320416	0.3443087	0.0282864	0.6155479	0.3174804
