"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
300	0.5701859	0.8262118	0.4548342	0.9500865	0.3127459	0.5080332	0.9224311	0.5667377	0.5595041	1.0000000
350	0.5701838	0.8262632	0.4546749	0.9507265	0.3111761	0.5056527	0.9213829	0.5667281	0.5595041	1.0000000
400	0.5702078	0.8263668	0.4544451	0.9513882	0.3099898	0.5043310	0.9209379	0.5667424	0.5595041	1.0000000
450	0.5702644	0.8265245	0.4541759	0.9519673	0.3092010	0.5036548	0.9207569	0.5667700	0.5595041	1.0000000
500	0.5703566	0.8267222	0.4539070	0.9524135	0.3087252	0.5033300	0.9206864	0.5668059	0.5595041	1.0000000
550	0.5704793	0.8269354	0.4536699	0.9527249	0.3084331	0.5035406	0.9285811	0.7114143	0.5595041	1.0000000
600	0.5706204	0.8271393	0.4534805	0.9529353	0.3082179	0.5069198	0.9445136	0.7439784	0.5595041	1.0000000
650	0.5707647	0.8273161	0.4533394	0.9530547	0.3086678	0.5132715	0.9553644	0.7513295	0.5595041	1.0000000
700	0.5708987	0.8274576	0.4532486	0.9529735	0.3101095	0.5194887	0.9609118	0.7530026	0.5595041	1.0000000
750	0.5710130	0.8275573	0.4532315	0.9525943	0.3120384	0.5239439	0.9634420	0.7533920	0.5595041	1.0000000
800	0.5711005	0.8276013	0.4533169	0.9519719	0.3138265	0.5266179	0.9645283	0.7534841	0.5595041	1.0000000
850	0.5711521	0.8275724	0.4535066	0.9512650	0.3151649	0.5280514	0.9649768	0.7534982	0.5595041	1.0000000
900	0.5711577	0.8274644	0.4537669	0.9506209	0.3160346	0.5287623	0.9651563	0.7534831	0.5595041	1.0000000
950	0.5711116	0.8272914	0.4540475	0.9501176	0.3165456	0.5290950	0.9652261	0.7534525	0.5595041	1.0000000
1000	0.5710179	0.8270827	0.4543047	0.9497666	0.3168239	0.5292439	0.9652525	0.7534144	0.5595041	1.0000000

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.5420764	0.6392926	0.4549141	0.9492095	0.3171356	0.5293700	0.9654124	0.7590349	0.6236763	1.0000000
100	0.4740083	0.6023287	0.4549402	0.9492246	0.3171098	0.5294971	0.9671146	0.7716781	0.6456026	1.0000000
150	0.4221402	0.5950198	0.4549470	0.9492377	0.3171060	0.5302135	0.9707505	0.7809415	0.6530944	1.0000000
200	0.3948027	0.5935674	0.4549462	0.9492405	0.3172207	0.5317095	0.9747384	0.7857686	0.6556541	1.0000000
250	0.3825961	0.5932768	0.4549456	0.9492072	0.3175492	0.5336081	0.9777947	0.7879229	0.6565287	1.0000000
300	0.3776021	0.5932174	0.4549547	0.9491073	0.3180668	0.5353784	0.9796805	0.7888046	0.6568276	1.0000000
350	0.3756584	0.5932006	0.4549842	0.9489340	0.3186514	0.5367200	0.9806937	0.7891456	0.6569297	1.0000000
400	0.3749214	0.5931840	0.4550405	0.9487121	0.3191806	0.5375979	0.9811900	0.7892709	0.6569646	1.0000000
450	0.3746397	0.5931559	0.4551209	0.9484813	0.3195891	0.5381136	0.9814178	0.7893127	0.6569765	1.0000000
500	0.3745205	0.5931142	0.4552152	0.9482758	0.3198690	0.5383927	0.9815179	0.7893221	0.6569806	1.0000000
550	0.4078694	0.7801393	0.4553103	0.9481138	0.3200440	0.5385299	0.9813384	0.7844260	0.5928096	1.0000000
600	0.4782317	0.8168970	0.4553953	0.9479975	0.3201509	0.5384136	0.9792060	0.7724789	0.5708838	1.0000000
650	0.5273751	0.8240755	0.4554644	0.9479198	0.3201898	0.5375806	0.9752408	0.7628021	0.5633923	1.0000000
700	0.5520980	0.8254392	0.4555160	0.9478809	0.3200657	0.5359653	0.9714013	0.7573971	0.5608326	1.0000000
750	0.5628538	0.8256688	0.4555488	0.9479015	0.3197091	0.5340632	0.9686590	0.7548776	0.5599580	1.0000000
800	0.5671746	0.8256876	0.4555578	0.9480033	0.3191785	0.5323801	0.9670060	0.7538177	0.5596592	1.0000000
850	0.5688265	0.8256805	0.4555362	0.9481816	0.3186057	0.5311424	0.9661133	0.7534000	0.5595571	1.0000000
900	0.5694390	0.8256875	0.4554825	0.9484036	0.3181025	0.5303428	0.9656677	0.7532445	0.5595222	1.0000000
950	0.5696674	0.8257176	0.4554030	0.9486279	0.3177207	0.5298736	0.9654579	0.7531924	0.5595103	1.0000000
1000	0.5697642	0.8257697	0.4553105	0.9488231	0.3174613	0.5296180	0.9653636	0.7531812	0.5595062	1.0000000

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.5725305	0.8589867	0.2386717	0.3588800	0.6195264	0.5654405	0.9653235	0.7631800	0.5856302	1.0000000
100	0.5886466	0.9220127	0.2039982	0.1597673	0.7216270	0.5752563	0.9661626	0.7969803	0.5945571	1.0000000
150	0.6160281	0.9554337	0.2215304	0.0889137	0.7567931	0.5782257	0.9681391	0.8304174	0.5976072	1.0000000
200	0.6388329	0.9650333	0.2397133	0.0628047	0.7689883	0.5796605	0.9703093	0.8438586	0.5986494	1.0000000
250	0.6518766	0.9648857	0.2497849	0.0530025	0.7732801	0.5807637	0.9717359	0.8434539	0.5990055	1.0000000
300	0.6573640	0.9622865	0.2544124	0.0492847	0.7748734	0.5815961	0.9722916	0.8392004	0.5991271	1.0000000
350	0.6587531	0.9599348	0.2563898	0.0478650	0.7755317	0.5820917	0.9722978	0.8354838	0.5991687	1.0000000
400	0.6584875	0.9584019	0.2572106	0.0473185	0.7758346	0.5822939	0.9720893	0.8331248	0.5991829	1.0000000
450	0.6578201	0.9575427	0.2575473	0.0471053	0.7759766	0.5823124	0.9718616	0.8318233	0.5991877	1.0000000
500	0.6572320	0.9571016	0.2576848	0.0470207	0.7760347	0.5822499	0.9716879	0.8311599	0.5991894	1.0000000
550	0.6548237	0.9028969	0.7321302	0.4456121	0.4774425	0.5463770	0.9713368	0.7975155	0.5730637	1.0000000
600	0.6249071	0.7308898	0.7959457	0.6839259	0.3748097	0.5364303	0.9694024	0.7578599	0.5641371	1.0000000
650	0.5469374	0.6169205	0.7087569	0.8238895	0.3383854	0.5330441	0.9669429	0.7413605	0.5610871	1.0000000
700	0.4640503	0.6062231	0.6098653	0.8937064	0.3252511	0.5313281	0.9665451	0.7365232	0.5600449	1.0000000
750	0.4231877	0.6518303	0.5402634	0.9254296	0.3203728	0.5306887	0.9686705	0.7370338	0.5596889	1.0000000
800	0.4280963	0.7090033	0.4991022	0.9391975	0.3185218	0.5311281	0.9711623	0.7400314	0.5595672	1.0000000
850	0.4579610	0.7553749	0.4768508	0.9450194	0.3179380	0.5320542	0.9720286	0.7437863	0.5595257	1.0000000
900	0.4923889	0.7863018	0.4654804	0.9474095	0.3179282	0.5326825	0.9712128	0.7471631	0.5595114	1.0000000
950	0.5208472	0.8047845	0.4599063	0.9483290	0.3180893	0.5326740	0.9696775	0.7496580	0.5595066	1.0000000
1000	0.5408195	0.8150980	0.4572711	0.9486389	0.3181837	0.5321703	0.9682040	0.7512655	0.5595049	1.0000000

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.8385192	0.4149878	0.4554148	0.9278197	0.5557762	0.5292710	0.9630904	0.7532953	0.5595039	1.0000000
100	0.9316833	0.3335950	0.4627529	0.8539780	0.6331820	0.5283792	0.9591353	0.7531369	0.5595040	1.0000000
150	0.9639660	0.3156337	0.4840828	0.7756243	0.6581230	0.5268251	0.9566841	0.7522819	0.5595041	1.0000000
200	0.9752294	0.3072090	0.5154349	0.7228063	0.6658905	0.5253668	0.9554352	0.7502101	0.5595041	1.0000000
250	0.9791517	0.2980233	0.5470731	0.6942367	0.6680738	0.5243267	0.9546968	0.7472882	0.5595041	1.0000000
300	0.9804734	0.2877811	0.5721886	0.6806728	0.6685193	0.5236437	0.9541041	0.7443688	0.5595041	1.0000000
350	0.9808662	0.2782156	0.5890834	0.6748204	0.6684820	0.5231661	0.9535575	0.7420234	0.5595041	1.0000000
400	0.9809349	0.2706006	0.5991580	0.6725127	0.6683426	0.5227908	0.9530723	0.7403823	0.5595041	1.0000000
450	0.9809031	0.2652521	0.6046336	0.6717063	0.6682007	0.5224773	0.9526787	0.7393342	0.5595041	1.0000000
500	0.9808520	0.2618462	0.6073889	0.6714915	0.6680758	0.5222187	0.9523867	0.7387078	0.5595041	1.0000000
550	0.4700849	0.6045865	0.6073543	0.7092152	0.4293833	0.5220817	0.9540157	0.7383558	0.5595041	1.0000000
600	0.3919509	0.6722620	0.5926439	0.8031258	0.3518441	0.5229586	0.9616659	0.7382859	0.5595041	1.0000000
650	0.4154889	0.6948349	0.5597586	0.8768739	0.3267812	0.5257856	0.9692096	0.7388646	0.5595041	1.0000000
700	0.4447876	0.7188183	0.5235860	0.9171063	0.3191837	0.5292014	0.9719576	0.7404088	0.5595041	1.0000000
750	0.4703672	0.7470086	0.4951942	0.9359541	0.3174797	0.5315143	0.9717389	0.7427881	0.5595041	1.0000000
800	0.4942789	0.7732779	0.4767074	0.9440072	0.3175344	0.5324209	0.9705526	0.7455141	0.5595041	1.0000000
850	0.5160007	0.7935862	0.4660101	0.9471661	0.3178619	0.5323906	0.9692438	0.7480409	0.5595041	1.0000000
900	0.5339204	0.8073568	0.4603239	0.9482900	0.3180362	0.5319247	0.9680927	0.7500241	0.5595041	1.0000000
950	0.5472875	0.8158541	0.4574993	0.9486546	0.3180250	0.5313394	0.9671827	0.7513874	0.5595041	1.0000000
1000	0.5564365	0.8207342	0.4561724	0.9487800	0.3179004	0.5307927	0.9665152	0.7522313	0.5595041	1.0000000

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.6997276	0.8264389	0.4550842	0.9483519	0.2895195	0.7950699	0.8729516	0.7749558	0.8220647	1.0000000
100	0.7458487	0.8262241	0.4550969	0.9507573	0.3098906	0.8619746	0.8459222	0.8163018	0.9117759	1.0000000
150	0.7623674	0.8261602	0.4548107	0.9484932	0.3293998	0.8769266	0.8399054	0.8425242	0.9424282	1.0000000
200	0.7682854	0.8261997	0.4552055	0.9430299	0.3399959	0.8796849	0.8399460	0.8549083	0.9529013	1.0000000
250	0.7704047	0.8259552	0.4566200	0.9375865	0.3446232	0.8800716	0.8410774	0.8600913	0.9564798	1.0000000
300	0.7710916	0.8251472	0.4585950	0.9336959	0.3463846	0.8801507	0.8420031	0.8620965	0.9577025	1.0000000
350	0.7711416	0.8238569	0.4605193	0.9314047	0.3469857	0.8802269	0.8425647	0.8628035	0.9581202	1.0000000
400	0.7708550	0.8223888	0.4620344	0.9302202	0.3471711	0.8803006	0.8428636	0.8630107	0.9582630	1.0000000
450	0.7704027	0.8210380	0.4630656	0.9296633	0.3472226	0.8803555	0.8430112	0.8630415	0.9583117	1.0000000
500	0.7699115	0.8199683	0.4636959	0.9294198	0.3472354	0.8803901	0.8430811	0.8630209	0.9583284	1.0000000
550	0.6390552	0.8192224	0.4639298	0.9280433	0.3906853	0.5809845	0.9351884	0.8513698	0.6957733	1.0000000
600	0.5916804	0.8187335	0.4647761	0.9210783	0.3659170	0.5233894	0.9624245	0.8184470	0.6060642	1.0000000
650	0.5743858	0.8180416	0.4663311	0.9235365	0.3375498	0.5216105	0.9696751	0.7873359	0.5754126	1.0000000
700	0.5678297	0.8171344	0.4665146	0.9321105	0.3232336	0.5268379	0.9703526	0.7679836	0.5649397	1.0000000
750	0.5651045	0.8167941	0.4647071	0.9399828	0.3184708	0.5299805	0.9691114	0.7584048	0.5613613	1.0000000
800	0.5640139	0.8175555	0.4619483	0.9448908	0.3175091	0.5309551	0.9677115	0.7543821	0.5601386	1.0000000
850	0.5639612	0.8191978	0.4593701	0.9473443	0.3175158	0.5308646	0.9666924	0.7529907	0.5597209	1.0000000
900	0.5646543	0.8211249	0.4574890	0.9483944	0.3175746	0.5304603	0.9660778	0.7526870	0.5595782	1.0000000
950	0.5657558	0.8228428	0.4563185	0.9488030	0.3175320	0.5300754	0.9657408	0.7527569	0.5595294	1.0000000
1000	0.5669346	0.8241315	0.4556663	0.9489672	0.3174332	0.5298008	0.9655603	0.7529063	0.5595127	1.0000000
