"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
50	0.2153470	0.3504225	0.3930678	0.7614396	0.0433855	0.0084315	0.0355703	0.6983607	0.6193776	0.6630990
100	0.1417075	0.4344473	0.5097751	0.6838034	0.0307946	0.0036899	0.0111874	0.7612063	0.4729318	0.7479485
150	0.1655517	0.3891571	0.3527042	0.7691112	0.0210287	0.0135812	0.0404655	0.5862340	0.2687379	0.5954653
200	0.2634720	0.5436283	0.3033027	0.6580254	0.0078691	0.0232948	0.0639802	0.7336582	0.2200788	0.7724832
250	0.3375263	0.5527033	0.3081780	0.7388343	0.0250802	0.0039193	0.0362325	0.6653865	0.2759127	0.9317064
300	0.2748803	0.5975537	0.2894841	0.6974615	0.0194008	0.0063429	0.0589278	0.7834517	0.2638768	0.7147399
350	0.2760578	0.7028844	0.2531624	0.4774974	0.0584504	0.0078222	0.0382868	0.6679100	0.2819327	0.7121874
400	0.2374675	0.4857223	0.1855885	0.3881217	0.0156530	0.0187404	0.0483248	0.7130487	0.2443300	0.8629714
450	0.2499918	0.6439813	0.1515429	0.5560193	0.0259866	0.0122000	0.0318243	0.5754510	0.2103302	0.7543149
500	0.3629288	0.7014296	0.2237584	0.4423673	0.0474256	0.0039848	0.0624618	0.6855335	0.2996193	0.7188194
550	0.3002222	0.6924086	0.1957783	0.5345883	0.0309069	0.0094521	0.0292511	0.6996424	0.4540310	0.5616253
600	0.3743725	0.5775564	0.2630199	0.5372004	0.0173773	0.0083259	0.1025122	0.7038915	0.6088500	0.8207205
650	0.3970828	0.5522651	0.3346003	0.5036418	0.0351742	0.0030861	0.0317373	0.7009056	0.7262602	0.6959859
700	0.2731793	0.5768720	0.3656519	0.6963139	0.0200450	0.0073643	0.0333765	0.7576768	0.6713665	0.8025434
750	0.2590044	0.6222952	0.3588513	0.8150777	0.0250829	0.0191452	0.0733135	0.9060747	0.7061141	0.5939347
800	0.3085873	0.5401958	0.4320625	0.7736111	0.0369954	0.0263275	0.0493507	0.6927971	0.6701701	0.8092549
850	0.2400267	0.3137360	0.5086734	0.7384587	0.0226770	0.0019763	0.0870015	0.6023037	0.7827065	0.7186785
900	0.3114381	0.3836186	0.4490291	0.7139246	0.0547681	0.0033152	0.0733559	0.6822581	0.7360815	0.6097028
950	0.2191928	0.3329650	0.3606156	0.6239832	0.0237729	0.0097092	0.0294281	0.7496597	0.8379308	0.7330892
1000	0.1976148	0.3710424	0.4318017	0.6942679	0.0078588	0.0159322	0.0347546	0.7566285	0.5729350	0.6070474
