"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
550	0.3812635	0.4764703	0.6967602	0.7377625	0.0070915	0.0909907	0.9936859	0.2214516	0.0584934	1.0000000
600	0.3812639	0.4764700	0.6967606	0.8777192	0.0130866	0.1707587	0.9936858	0.2214512	0.0617486	1.0000000
650	0.3812641	0.4764698	0.6967610	0.9497606	0.0264415	0.2055092	0.9936858	0.2214508	0.0815122	1.0000000
700	0.3812643	0.4764697	0.6967612	0.9806275	0.0401464	0.2182294	0.9936858	0.2214505	0.1203644	1.0000000
750	0.3812645	0.4764696	0.6967613	0.9927812	0.0498266	0.2225560	0.9936858	0.2214503	0.1625294	1.0000000
800	0.3812646	0.4764695	0.6967614	0.9973349	0.0553754	0.2239742	0.9936858	0.2214501	0.1952989	1.0000000
850	0.3812646	0.4764694	0.6967614	0.9989820	0.0581686	0.2244297	0.9936859	0.2214500	0.2162245	1.0000000
900	0.3812647	0.4764694	0.6967614	0.9995605	0.0594572	0.2245743	0.9936859	0.2214499	0.2280207	1.0000000
950	0.3812647	0.4764694	0.6967614	0.9997584	0.0600158	0.2246199	0.9936859	0.2214498	0.2341215	1.0000000
1000	0.3812647	0.4764694	0.6967614	0.9998243	0.0602471	0.2246342	0.9936859	0.2214497	0.2370807	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.2810010	0.4764738	0.6967316	0.9998563	0.0585284	0.1862684	0.9937246	0.2260173	0.3634347	1.0000000
100	0.1844300	0.4764671	0.6970956	0.9998686	0.0497128	0.1521009	0.9930907	0.2576712	0.4604935	1.0000000
150	0.1392917	0.4762978	0.6991601	0.9999010	0.0392019	0.1371921	0.9901174	0.3070729	0.4846990	1.0000000
200	0.1219361	0.4755370	0.7049528	0.9999369	0.0315798	0.1316149	0.9833552	0.3520877	0.4740725	1.0000000
250	0.1160709	0.4735725	0.7151157	0.9999632	0.0271901	0.1293805	0.9734298	0.3841361	0.4548893	1.0000000
300	0.1147106	0.4701380	0.7277474	0.9999787	0.0249298	0.1280318	0.9626576	0.4041193	0.4386696	1.0000000
350	0.1152953	0.4656562	0.7400275	0.9999868	0.0237773	0.1267817	0.9532235	0.4155550	0.4279286	1.0000000
400	0.1168368	0.4609563	0.7500587	0.9999907	0.0231185	0.1255302	0.9461551	0.4216277	0.4215496	1.0000000
450	0.1187940	0.4567731	0.7572649	0.9999926	0.0226632	0.1243858	0.9414589	0.4245417	0.4178116	1.0000000
500	0.1207761	0.4534907	0.7619281	0.9999936	0.0223046	0.1234517	0.9386507	0.4256707	0.4154614	1.0000000
550	0.2252218	0.4511667	0.7645868	0.9999941	0.0230444	0.1582634	0.9372275	0.4224190	0.2873821	1.0000000
600	0.3256656	0.4497467	0.7638949	0.9999934	0.0288059	0.1893492	0.9386130	0.3953095	0.1869123	1.0000000
650	0.3731055	0.4496700	0.7556179	0.9999884	0.0373077	0.2031732	0.9464901	0.3470689	0.1606651	1.0000000
700	0.3913250	0.4518413	0.7407691	0.9999760	0.0445752	0.2094734	0.9593584	0.2989184	0.1697611	1.0000000
750	0.3966166	0.4562470	0.7253615	0.9999572	0.0495454	0.2136248	0.9720522	0.2623199	0.1875339	1.0000000
800	0.3962513	0.4616449	0.7134601	0.9999365	0.0528216	0.2170555	0.9815296	0.2386412	0.2031217	1.0000000
850	0.3935367	0.4666454	0.7057158	0.9999175	0.0551189	0.2197925	0.9875335	0.2251812	0.2144385	1.0000000
900	0.3902320	0.4705023	0.7011825	0.9999017	0.0568189	0.2217570	0.9909600	0.2186283	0.2223228	1.0000000
950	0.3872617	0.4731195	0.6987159	0.9998890	0.0580740	0.2230366	0.9927644	0.2162498	0.2278777	1.0000000
1000	0.3849841	0.4747355	0.6974567	0.9998788	0.0589624	0.2238079	0.9936321	0.2161043	0.2318301	1.0000000
