"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
350	0.5927496	0.9889678	0.9993105	0.9990907	0.0292067	0.0460224	0.0237540	0.0785798	0.6487591	0.9999987
400	0.5923582	0.9889705	0.9993080	0.9991175	0.0292088	0.0460124	0.0237569	0.0788399	0.6486981	0.9999987
450	0.5922022	0.9889712	0.9993071	0.9991193	0.0292113	0.0460099	0.0237590	0.0789602	0.6486762	0.9999988
500	0.5921401	0.9889714	0.9993067	0.9991164	0.0292128	0.0460094	0.0237601	0.0790133	0.6486683	0.9999988
550	0.8374767	0.9500628	0.9993801	0.9966010	0.0303972	0.0460259	0.0258859	0.2795733	0.7728845	0.9999987
600	0.9352380	0.9401513	0.9995161	0.9832004	0.0376598	0.0465512	0.0420337	0.3187583	0.8123300	0.9999975
650	0.9741938	0.9376263	0.9996024	0.9677761	0.0459211	0.0492102	0.0596384	0.3180411	0.8253165	0.9999873
700	0.9897168	0.9369824	0.9996439	0.9594071	0.0496823	0.0535622	0.0657119	0.3123101	0.8297388	0.9999610
750	0.9959024	0.9368168	0.9996618	0.9568315	0.0503134	0.0566312	0.0655993	0.3082252	0.8312863	0.9999383
800	0.9983672	0.9367731	0.9996691	0.9567621	0.0499338	0.0576504	0.0642334	0.3060015	0.8318387	0.9999307
850	0.9993494	0.9367612	0.9996720	0.9573219	0.0494787	0.0575803	0.0631528	0.3049186	0.8320391	0.9999321
900	0.9997407	0.9367581	0.9996731	0.9578368	0.0491708	0.0572338	0.0625190	0.3044220	0.8321131	0.9999354
950	0.9998967	0.9367574	0.9996735	0.9581726	0.0489988	0.0569350	0.0621913	0.3042026	0.8321409	0.9999381
1000	0.9999588	0.9367574	0.9996737	0.9583612	0.0489119	0.0567443	0.0620336	0.3041080	0.8321517	0.9999397

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9367576	0.9996738	0.9680424	0.8333514	0.0555137	0.0423728	0.1321429	0.8321614	0.9999498
100	1.0000000	0.9367585	0.9996738	0.9853203	0.9706661	0.0509892	0.0265591	0.0673221	0.8321612	0.9999784
150	1.0000000	0.9367603	0.9996738	0.9945949	0.9947000	0.0478088	0.0239360	0.0428762	0.8321634	0.9999927
200	1.0000000	0.9367618	0.9996738	0.9981382	0.9989066	0.0465622	0.0236540	0.0336568	0.8321657	0.9999971
250	1.0000000	0.9367627	0.9996738	0.9993532	0.9996429	0.0461587	0.0236232	0.0301797	0.8321671	0.9999983
300	1.0000000	0.9367632	0.9996738	0.9997560	0.9997717	0.0460388	0.0236186	0.0288683	0.8321679	0.9999987
350	1.0000000	0.9367634	0.9996738	0.9998887	0.9997943	0.0460048	0.0236175	0.0283737	0.8321682	0.9999988
400	1.0000000	0.9367635	0.9996738	0.9999327	0.9997982	0.0459954	0.0236172	0.0281871	0.8321683	0.9999988
450	1.0000000	0.9367635	0.9996738	0.9999474	0.9997989	0.0459929	0.0236171	0.0281167	0.8321683	0.9999988
500	1.0000000	0.9367635	0.9996738	0.9999524	0.9997990	0.0459922	0.0236170	0.0280902	0.8321683	0.9999988
550	1.0000000	0.9367635	0.9996738	0.9993656	0.1991337	0.0459933	0.0238703	0.1999674	0.8321683	0.9999988
600	1.0000000	0.9367635	0.9996738	0.9936038	0.0616556	0.0460868	0.0287777	0.2647876	0.8321683	0.9999986
650	1.0000000	0.9367635	0.9996738	0.9825656	0.0427697	0.0467888	0.0403994	0.2892333	0.8321683	0.9999969
700	1.0000000	0.9367633	0.9996738	0.9722649	0.0436793	0.0486533	0.0509195	0.2984526	0.8321680	0.9999904
750	1.0000000	0.9367628	0.9996738	0.9654832	0.0461465	0.0512307	0.0570149	0.3019295	0.8321672	0.9999776
800	1.0000000	0.9367619	0.9996738	0.9617840	0.0476324	0.0535072	0.0598788	0.3032410	0.8321657	0.9999635
850	1.0000000	0.9367607	0.9996738	0.9599781	0.0483345	0.0550077	0.0610955	0.3037360	0.8321637	0.9999530
