"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
100	0.3090021	0.7467417	0.1644195	0.3448675	0.6445179	0.6161895	0.0411454	0.6794343	0.0649890	0.9697859
150	0.4119558	0.7700072	0.1539634	0.3022247	0.4394312	0.7742428	0.0279734	0.7422733	0.0684310	0.9844407
200	0.4099233	0.8295227	0.1146873	0.3182279	0.3557111	0.8730741	0.0322262	0.7505196	0.0756224	0.9959888
250	0.3971733	0.9404477	0.0970717	0.3291908	0.2845608	0.8551035	0.0230165	0.8532557	0.1012865	0.9134962
300	0.3733875	0.9334706	0.0918040	0.4037930	0.2944513	0.8254822	0.0142181	0.8231364	0.0727990	0.9849336
350	0.3426289	0.9196080	0.1485720	0.3764115	0.3181638	0.8607867	0.0408603	0.8293528	0.0887178	0.9972806
400	0.4266588	0.9550238	0.1458965	0.3796053	0.2703554	0.8543372	0.0217342	0.8301593	0.0634357	1.0370326
450	0.4210934	0.8873994	0.1570068	0.3684051	0.2924278	0.9264870	0.0247648	0.7957896	0.0769822	1.0115345
500	0.3422652	0.8701002	0.1171794	0.3593621	0.2392898	0.9475914	0.0195574	0.7991039	0.0664680	1.0611611
550	0.4063580	0.8693972	0.1261227	0.3768608	0.2197514	0.9287432	0.0096726	0.3053229	0.0585633	1.1192406
600	0.4229459	0.8201383	0.1250814	0.3626724	0.2657381	0.7387656	0.0394365	0.1750019	0.0730919	0.9742257
650	0.4614426	0.9182617	0.1576892	0.3956281	0.2949554	0.5502111	0.0516649	0.0989915	0.0636909	1.0090284
700	0.3830616	0.7925017	0.1561246	0.3144517	0.3787406	0.3847023	0.0884225	0.0801189	0.0622682	1.0810271
750	0.3646863	0.8077040	0.0892806	0.2858035	0.4867584	0.2586113	0.0718815	0.0689963	0.0381184	0.9758441
800	0.3726999	0.8309540	0.0694252	0.2511100	0.6184562	0.1932363	0.0737503	0.0675631	0.0427883	1.0272581
850	0.3195255	0.9202083	0.0445655	0.2742681	0.6298016	0.1975299	0.0751438	0.0731753	0.0367780	0.9614053
900	0.3106875	1.0533230	0.0403307	0.2809285	0.7627867	0.1321064	0.0582418	0.0756398	0.0539168	0.9789189
950	0.2660298	0.9530824	0.0568499	0.3378049	0.7625600	0.1254106	0.0493206	0.0686723	0.0493422	1.0475428
1000	0.2665760	0.9262370	0.0797290	0.3710338	0.8360391	0.1241928	0.0683791	0.0645785	0.0581655	1.0877757
