"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
400	0.6211607	0.6512078	0.3072093	0.3056972	0.4991793	0.7456399	0.1400925	0.0411641	0.1140645	0.8009147
450	0.7041056	0.5662416	0.3205888	0.2981029	0.3924512	0.6790254	0.2178985	0.0358275	0.1808755	0.6325406
500	0.6795561	0.5533144	0.2844567	0.3125713	0.3826492	0.6144498	0.1285312	0.0330582	0.1417690	0.7429486
550	0.6613248	0.4238985	0.2754235	0.3072514	0.3709885	0.5832320	0.6149389	0.5239710	0.6132281	0.6809654
600	0.6184640	0.2911924	0.4426698	0.4286534	0.3333750	0.7210620	0.6827199	0.4867104	0.8967252	0.6800034
650	0.5468650	0.2200094	0.3702478	0.4037418	0.3100911	0.7158740	0.6218322	0.4275539	0.6787254	0.7324496
700	0.6548096	0.2511075	0.3043345	0.3273258	0.3282216	0.7180036	0.7492213	0.4489203	0.6005971	0.5944179
750	0.4504547	0.2044977	0.3789610	0.4439287	0.3559968	0.7393999	0.8970374	0.3843247	0.7212670	0.8163676
800	0.4034231	0.1933985	0.3884393	0.3628365	0.3532714	0.7581856	0.7561541	0.3549222	0.6746704	0.7241343
850	0.5261123	0.1532463	0.3342322	0.3785566	0.2607799	0.8545307	0.7665567	0.3721261	0.7961010	0.7175864
900	0.4940188	0.1344445	0.3043842	0.4083126	0.3111904	0.7415101	0.7446156	0.3167804	0.7012335	0.6797469
950	0.5930536	0.2101349	0.3531720	0.3773178	0.3763129	0.6697517	0.6538794	0.3206123	0.7670856	0.7966791
1000	0.6005349	0.1534342	0.3784231	0.4656211	0.3575094	0.7289144	0.7288421	0.3336514	0.5941194	0.7558787

0	0.5830787	0.1604173	0.2668012	0.2978203	0.3919940	0.7377374	0.7894924	0.3159525	0.7037174	0.5702000
50	0.5008091	0.1308560	0.3706103	0.4733321	0.2809028	0.3511467	0.3763567	0.4811740	0.1347563	0.7226395
100	0.4342628	0.2122915	0.2076248	0.4226418	0.4190919	0.1288427	0.4608058	0.6789525	0.0753767	0.6954485
150	0.5173738	0.3284537	0.4036563	0.3128200	0.4520737	0.1165451	0.5293180	0.7510628	0.0548495	0.7996627
200	0.4415246	0.2637164	0.2561543	0.4131746	0.4928722	0.0687397	0.4683038	0.6896764	0.0323293	0.7995276
250	0.3925285	0.2641232	0.2665310	0.4402589	0.4839465	0.0474759	0.5413752	0.6658326	0.0601762	0.7698146
300	0.3734983	0.2217794	0.2560847	0.5990956	0.4646824	0.0488317	0.3983826	0.8070552	0.0486972	0.7530428
350	0.3973953	0.1634145	0.1810943	0.4124786	0.6273330	0.1281852	0.4309268	0.6423035	0.0783470	0.6313319
400	0.5481742	0.2392322	0.1915240	0.4399045	0.6285378	0.0635056	0.4428190	0.6456704	0.0795852	0.6898637
