"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
600	0.6095151	0.3677336	0.9726168	0.1731690	0.5811789	0.8765787	0.5387028	0.9850724	0.0823199	1.0000000
650	0.5989725	0.3335901	0.9723963	0.1790115	0.5588997	0.7153453	0.4479564	0.9850724	0.0823199	1.0000000
700	0.5790891	0.3036600	0.9709802	0.1911444	0.5166698	0.5294638	0.4118237	0.9850724	0.0823199	1.0000000
750	0.5409103	0.2633508	0.9674723	0.2171841	0.4506031	0.3849433	0.4042700	0.9850724	0.0823199	1.0000000
800	0.4759465	0.2097050	0.9592171	0.2702670	0.3714424	0.2970627	0.4199559	0.9850724	0.0823199	1.0000000
850	0.3868152	0.1531390	0.9404989	0.3625772	0.2959924	0.2642417	0.4711043	0.9850724	0.0823199	1.0000000
900	0.2908482	0.1068605	0.9036949	0.4891596	0.2387644	0.2987372	0.5672409	0.9850724	0.0823199	1.0000000
950	0.2101956	0.0766545	0.8475091	0.6195298	0.2123150	0.4136388	0.6797868	0.9850724	0.0823199	1.0000000
1000	0.1602120	0.0614295	0.7841678	0.7155522	0.2254244	0.5680628	0.7698105	0.9850724	0.0823199	1.0000000

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3831318	0.1629889	0.5410017	0.3837936	0.4730412	0.8987046	0.7610512	0.9850719	0.0823484	0.9955810
100	0.4317672	0.1925754	0.3148707	0.3054870	0.4998776	0.9315567	0.6914548	0.9850620	0.0824990	0.9911034
150	0.4720531	0.2193942	0.2237799	0.2495577	0.5211670	0.9454129	0.6031087	0.9850285	0.0826998	0.9888787
200	0.5037770	0.2422070	0.1954232	0.2120939	0.5363688	0.9404046	0.5219372	0.9849771	0.0828601	0.9879629
250	0.5271616	0.2598649	0.1886832	0.1877187	0.5449531	0.9219330	0.4615126	0.9849246	0.0829594	0.9876176
300	0.5424698	0.2714791	0.1881109	0.1726749	0.5472581	0.8989511	0.4219270	0.9848827	0.0830123	0.9874939
350	0.5503255	0.2769394	0.1888276	0.1645331	0.5447155	0.8785204	0.3980281	0.9848544	0.0830380	0.9874509
400	0.5519755	0.2771505	0.1895097	0.1615115	0.5393628	0.8633690	0.3845890	0.9848374	0.0830496	0.9874363
450	0.5491920	0.2737461	0.1898937	0.1620734	0.5330955	0.8533226	0.3778106	0.9848280	0.0830546	0.9874315
500	0.5438877	0.2685093	0.1899978	0.1648311	0.5272126	0.8471734	0.3752272	0.9848231	0.0830566	0.9874298
550	0.5375274	0.2626789	0.5107344	0.1837852	0.5185376	0.6814294	0.3764337	0.9848212	0.0830282	0.9918483
600	0.5261469	0.2519212	0.7884621	0.2100364	0.4842841	0.4660095	0.3859284	0.9848303	0.0828757	0.9963258
650	0.4943557	0.2240572	0.9005859	0.2456049	0.4170422	0.3274281	0.4053873	0.9848639	0.0826742	0.9985504
700	0.4297199	0.1778385	0.9299397	0.3109739	0.3361790	0.2643375	0.4422915	0.9849155	0.0825148	0.9994662
750	0.3396714	0.1282694	0.9181446	0.4190177	0.2649758	0.2667752	0.5151504	0.9849679	0.0824167	0.9998114
800	0.2488592	0.0899970	0.8767656	0.5531580	0.2198022	0.3452878	0.6228296	0.9850094	0.0823646	0.9999352
850	0.1809009	0.0672978	0.8163749	0.6731084	0.2122659	0.4883277	0.7273168	0.9850374	0.0823395	0.9999782
900	0.1483335	0.0583832	0.7561890	0.7429468	0.2440834	0.6393167	0.8009753	0.9850541	0.0823281	0.9999927
950	0.1556913	0.0620383	0.7145369	0.7432274	0.3014051	0.7572897	0.8426369	0.9850633	0.0823232	0.9999976
1000	0.2003213	0.0790597	0.7020595	0.6772821	0.3651275	0.8349526	0.8596450	0.9850681	0.0823212	0.9999992
