"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
100	0.5336581	0.4393102	0.3952935	0.1394821	0.6075344	0.0787203	0.0274728	0.3808117	0.7972182	0.5580696
150	0.4804806	0.4551023	0.4670315	0.2248440	0.7352454	0.1429486	0.0328426	0.4343754	0.8168951	0.4277048
200	0.5095587	0.5158905	0.4502942	0.2312941	0.8768739	0.1931075	0.0354900	0.3635601	0.7820000	0.2469472
250	0.5009085	0.7436623	0.6226856	0.1396968	0.8089193	0.2515856	0.0577510	0.5280057	0.7187676	0.2040679
300	0.4506983	0.5893227	0.6959062	0.1442370	0.6158812	0.3390091	0.0306740	0.4601251	0.7198642	0.1966993
350	0.4031766	0.6440333	0.6456159	0.1856922	0.7390858	0.2939959	0.0289905	0.3877558	0.7553224	0.1752619
400	0.5582649	0.6389317	0.5972480	0.3068592	0.7350772	0.2843617	0.0742950	0.4193843	0.5577042	0.1564068
450	0.4592140	0.6992931	0.8029869	0.2475043	0.6104166	0.4083217	0.0235059	0.4519496	0.9331824	0.0937616
500	0.6100246	0.7165203	0.6155143	0.2223328	0.5948791	0.3781074	0.0400951	0.4425127	0.6717049	0.1241411
550	0.4951693	0.7823371	0.5129074	0.3996130	0.5425851	0.2789721	0.0570567	0.5381679	0.7681148	0.0960088
600	0.3658349	0.6431594	0.3056359	0.4916300	0.4534874	0.1883100	0.0310238	0.4892417	0.7070977	0.1148112
650	0.4588412	0.5495415	0.3110725	0.5715780	0.6352599	0.1959784	0.0478655	0.4227046	0.6742585	0.1968960
700	0.4730087	0.6368895	0.2717893	0.5814016	0.6549463	0.1595488	0.0577064	0.4627657	0.7249052	0.1596555
750	0.6115072	0.5489718	0.2621785	0.4481040	0.6390836	0.1767580	0.0162986	0.4142151	0.8626535	0.2249353
800	0.3889166	0.4150885	0.1595559	0.5161690	0.5836013	0.1061371	0.0245093	0.4058019	0.7351929	0.2321163
850	0.4340961	0.4646346	0.1078321	0.4588126	0.7630759	0.1018406	0.0365433	0.4724366	0.7339211	0.3862515
900	0.4395706	0.3864733	0.2584862	0.5963554	0.6274125	0.0792418	0.0652503	0.4621784	0.8403697	0.4102542
950	0.6095632	0.4211584	0.2673331	0.4405194	0.7851335	0.0780453	0.0408520	0.4749886	0.6424152	0.3663392
1000	0.4865113	0.4260583	0.2575679	0.4167978	0.8008275	0.0716458	0.0404635	0.3947809	0.8552864	0.2943360
