"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
850	0.0679033	0.3058035	0.9488203	0.3011928	0.5092033	0.6454618	0.9991879	0.0191884	0.1793340	0.5506704
900	0.0678810	0.3062195	0.9540908	0.2958889	0.5107010	0.6454377	0.9993474	0.0189099	0.1791493	0.5505401
950	0.0679925	0.3063938	0.9573760	0.2932033	0.5112781	0.6454927	0.9994371	0.0187835	0.1791002	0.5505220
1000	0.0680815	0.3064600	0.9592677	0.2919348	0.5114767	0.6455471	0.9994850	0.0187286	0.1790950	0.5505334

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.3673590	0.3025777	0.9635282	0.2355829	0.5082956	0.7088614	0.9238014	0.0187932	0.2101399	0.6863160
100	0.6561917	0.2839450	0.9725879	0.1820454	0.4954618	0.7339158	0.8319688	0.0244768	0.3588596	0.8343063
150	0.7915974	0.2762831	0.9822613	0.1591559	0.4848826	0.7198388	0.7741589	0.0843841	0.5126873	0.9140626
200	0.8441675	0.3006405	0.9884330	0.1525905	0.4827709	0.6945352	0.6734916	0.2377942	0.5943731	0.9495056
250	0.8634398	0.3349327	0.9915194	0.1508376	0.4886501	0.6408207	0.4464478	0.4047961	0.6242855	0.9629027
300	0.8708810	0.3595171	0.9929049	0.1484277	0.5052590	0.5657812	0.2456873	0.5228991	0.6300211	0.9655195
350	0.8741387	0.3719375	0.9936351	0.1429388	0.5311461	0.5139944	0.1238639	0.5870634	0.6270039	0.9634142
400	0.8756930	0.3764548	0.9942834	0.1346317	0.5568695	0.4900862	0.0608259	0.6141099	0.6221829	0.9601517
450	0.8764179	0.3772284	0.9950197	0.1258030	0.5755932	0.4808931	0.0308748	0.6210965	0.6181300	0.9574063
500	0.8767152	0.3767068	0.9957674	0.1185013	0.5867068	0.4776126	0.0174258	0.6194703	0.6154230	0.9555857
550	0.5863703	0.3794061	0.9959164	0.1624583	0.6045062	0.3069199	0.0397332	0.6045737	0.4975079	0.6815283
600	0.3058667	0.3683478	0.9931940	0.2020771	0.6692513	0.1844475	0.0726032	0.4481923	0.2182164	0.3891934
650	0.1715766	0.3633616	0.9890214	0.2070746	0.7508981	0.1379291	0.1087711	0.2457922	0.1375812	0.2407139
700	0.1188181	0.3740468	0.9868194	0.1945668	0.8131069	0.1233981	0.2271158	0.1219185	0.1276625	0.1907931
750	0.1023275	0.3837702	0.9871494	0.1800025	0.8476336	0.1396487	0.4796183	0.0615003	0.1268012	0.2165940
800	0.0990671	0.3846999	0.9886701	0.1697415	0.8470145	0.2317951	0.7155050	0.0348966	0.1272564	0.2970197
850	0.0981907	0.3752796	0.9901770	0.1663210	0.7978752	0.3733033	0.8616490	0.0238490	0.1301472	0.3859990
900	0.0954164	0.3591987	0.9910115	0.1719394	0.7187950	0.4922146	0.9370721	0.0194604	0.1380125	0.4548094
950	0.0903636	0.3423243	0.9907693	0.1870258	0.6432461	0.5670244	0.9724902	0.0178462	0.1496993	0.4989582
1000	0.0844403	0.3286089	0.9891348	0.2087042	0.5877623	0.6077117	0.9882139	0.0174144	0.1609579	0.5242712

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0579731	0.3065109	0.9630978	0.2478065	0.5116776	0.6378817	0.9222246	0.0186893	0.1789496	0.5486844
100	0.0481081	0.3070901	0.9705659	0.2049176	0.5151938	0.5967948	0.8285028	0.0186722	0.1762008	0.5367609
150	0.0436341	0.3092783	0.9791069	0.1827303	0.5276559	0.5401821	0.7715786	0.0185541	0.1693777	0.5172591
200	0.0423675	0.3130779	0.9851765	0.1699471	0.5483676	0.4929049	0.7429200	0.0182942	0.1616241	0.4982086
250	0.0427059	0.3174655	0.9888988	0.1593945	0.5713648	0.4620880	0.7297286	0.0179698	0.1556228	0.4839316
300	0.0437610	0.3214082	0.9912513	0.1495195	0.5912093	0.4446767	0.7239722	0.0176765	0.1518183	0.4748233
350	0.0450009	0.3243975	0.9928827	0.1409686	0.6056225	0.4356960	0.7215503	0.0174580	0.1496539	0.4696054
400	0.0461197	0.3264028	0.9940703	0.1343718	0.6148702	0.4313454	0.7205596	0.0173140	0.1485007	0.4668367
450	0.0469870	0.3276297	0.9949244	0.1297768	0.6202798	0.4293326	0.7201639	0.0172264	0.1479145	0.4654493
500	0.0475903	0.3283285	0.9955129	0.1268317	0.6232279	0.4284343	0.7200095	0.0171763	0.1476278	0.4647843
550	0.0581949	0.3286728	0.9954774	0.1633556	0.6244562	0.4379420	0.7972685	0.0171488	0.1476024	0.4669224
600	0.0682694	0.3281365	0.9930117	0.2004918	0.6193344	0.4858467	0.8909750	0.0171399	0.1493409	0.4809781
650	0.0728077	0.3256405	0.9887692	0.2203193	0.6017922	0.5450444	0.9478964	0.0171723	0.1542766	0.5019401
