"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
800	0.6188994	0.3447439	0.9981709	0.9508248	0.2013992	0.9990033	0.8414468	0.7043807	0.4405602	0.1706390
850	0.5702194	0.3290491	0.9994326	0.9769595	0.1945207	0.9996724	0.8545801	0.7796515	0.7989355	0.1062529
900	0.5427345	0.3232233	0.9997374	0.9857269	0.1917223	0.9998923	0.8663392	0.8955724	0.9334466	0.0797682
950	0.5298898	0.3212030	0.9998146	0.9887360	0.1905917	0.9999646	0.8770320	0.9504360	0.9781563	0.0691187
1000	0.5245752	0.3205314	0.9998357	0.9898054	0.1901385	0.9999884	0.8839466	0.9714704	0.9928292	0.0648528

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.5019705	0.2775375	0.9998451	0.9901238	0.2070000	0.7359748	0.8887259	0.9949338	0.6790292	0.1197851
100	0.4635576	0.2651012	0.9998448	0.9851061	0.2652942	0.6492038	0.8826996	0.9984568	0.5738163	0.1547258
150	0.4391456	0.2614775	0.9998427	0.9632881	0.3337837	0.6206868	0.8765723	0.9995297	0.5366487	0.2275256
200	0.4283096	0.2604232	0.9998342	0.9117495	0.3862138	0.6113148	0.8716660	0.9998563	0.4950088	0.3439982
250	0.4242244	0.2601218	0.9998125	0.8399709	0.4177671	0.6082347	0.8672289	0.9999557	0.3498956	0.4599235
300	0.4228226	0.2600472	0.9997728	0.7736549	0.4341850	0.6072225	0.8625662	0.9999856	0.1810120	0.5432693
350	0.4223856	0.2600483	0.9997173	0.7270213	0.4419774	0.6068898	0.8578799	0.9999945	0.0865600	0.5929161
400	0.4222852	0.2600794	0.9996558	0.6994371	0.4454580	0.6067805	0.8537984	0.9999972	0.0444965	0.6194089
450	0.4223049	0.2601218	0.9996006	0.6848576	0.4469491	0.6067445	0.8507377	0.9999979	0.0268507	0.6325765
500	0.4223666	0.2601640	0.9995591	0.6777233	0.4475692	0.6067327	0.8487165	0.9999981	0.0195144	0.6387947
550	0.4444003	0.3028796	0.9995325	0.6822590	0.4067812	0.8707541	0.8481540	0.7934296	0.0385435	0.6113169
600	0.4836928	0.3153408	0.9995394	0.7529619	0.3169052	0.9575238	0.8481546	0.7305198	0.0512756	0.5321981
650	0.5067012	0.3189621	0.9996136	0.8609220	0.2524059	0.9860403	0.8498196	0.7113798	0.0972376	0.3781759
700	0.5164207	0.3199762	0.9997080	0.9333773	0.2183515	0.9954122	0.8536442	0.7065260	0.3373950	0.2332430
750	0.5199397	0.3202225	0.9997746	0.9673091	0.2023049	0.9984922	0.8579549	0.7520859	0.7157136	0.1438384
800	0.5210758	0.3202577	0.9998113	0.9812239	0.1951428	0.9995045	0.8654347	0.8720853	0.9022516	0.0988622
850	0.5213944	0.3202465	0.9998294	0.9867411	0.1920497	0.9998371	0.8752489	0.9401169	0.9676304	0.0781425
900	0.5214614	0.3202321	0.9998380	0.9889387	0.1907458	0.9999465	0.8826542	0.9674471	0.9893411	0.0689530
950	0.5214629	0.3202225	0.9998419	0.9898265	0.1902067	0.9999824	0.8869164	0.9776440	0.9964827	0.0649563
1000	0.5214532	0.3202172	0.9998437	0.9901890	0.1899874	0.9999942	0.8890734	0.9813585	0.9988272	0.0632424

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.4522602	0.1796931	0.9998009	0.6103501	0.1562874	1.0000000	0.9596453	0.9834094	0.9999664	0.0543605
100	0.3050213	0.1387628	0.9996070	0.5153409	0.1476756	1.0000000	0.9711843	0.9834246	0.9999822	0.0397217
150	0.2102713	0.1268886	0.9992978	0.4917396	0.1454654	1.0000000	0.9717071	0.9834303	0.9999928	0.0305605
200	0.1690682	0.1235048	0.9990088	0.4859056	0.1448982	1.0000000	0.9708551	0.9834325	0.9999973	0.0263920
250	0.1539251	0.1225894	0.9988211	0.4844720	0.1447526	1.0000000	0.9702616	0.9834335	0.9999990	0.0247433
300	0.1488763	0.1223704	0.9987243	0.4841220	0.1447152	1.0000000	0.9699728	0.9834339	0.9999996	0.0241424
350	0.1473233	0.1223327	0.9986808	0.4840373	0.1447056	1.0000000	0.9698500	0.9834341	0.9999998	0.0239352
400	0.1468884	0.1223342	0.9986628	0.4840169	0.1447032	1.0000000	0.9698012	0.9834341	0.9999999	0.0238667
450	0.1467836	0.1223399	0.9986558	0.4840120	0.1447026	1.0000000	0.9697825	0.9834342	0.9999999	0.0238447
500	0.1467659	0.1223438	0.9986531	0.4840109	0.1447024	1.0000000	0.9697756	0.9834342	0.9999999	0.0238378
550	0.2317630	0.2632104	0.9990475	0.8666555	0.1782570	1.0000000	0.8851232	0.9834341	0.9999999	0.0286618
600	0.3842731	0.3040319	0.9995288	0.9614346	0.1868688	1.0000000	0.8801255	0.9834340	0.9999997	0.0414251
650	0.4692606	0.3156954	0.9997326	0.9840112	0.1890790	1.0000000	0.8849857	0.9834339	0.9999982	0.0521028
700	0.5035793	0.3189738	0.9998056	0.9891182	0.1896462	1.0000000	0.8882937	0.9834338	0.9999936	0.0579222
750	0.5157005	0.3198800	0.9998311	0.9901995	0.1897918	1.0000000	0.8898492	0.9834336	0.9999870	0.0604791
800	0.5196740	0.3201256	0.9998401	0.9904069	0.1898292	1.0000000	0.8904943	0.9834333	0.9999813	0.0614709
850	0.5209135	0.3201906	0.9998433	0.9904396	0.1898388	1.0000000	0.8907458	0.9834329	0.9999776	0.0618262
900	0.5212858	0.3202071	0.9998445	0.9904422	0.1898412	1.0000000	0.8908403	0.9834327	0.9999756	0.0619467
950	0.5213940	0.3202111	0.9998449	0.9904412	0.1898419	1.0000000	0.8908750	0.9834325	0.9999747	0.0619861
1000	0.5214245	0.3202120	0.9998450	0.9904405	0.1898420	1.0000000	0.8908875	0.9834324	0.9999743	0.0619985

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.8563416	0.3201998	0.9998949	0.5737753	0.1898421	1.0000000	0.9223098	0.9949338	0.9999648	0.0620048
100	0.9333464	0.3201913	0.9998113	0.4683965	0.1898421	1.0000000	0.9217028	0.9984569	0.9999710	0.0620042
150	0.9510545	0.3202407	0.9996380	0.4417452	0.1898421	1.0000000	0.9159281	0.9995300	0.9999731	0.0620041
200	0.9551330	0.3203499	0.9994574	0.4350047	0.1898421	1.0000000	0.9116969	0.9998568	0.9999737	0.0620040
250	0.9560824	0.3204784	0.9993319	0.4333000	0.1898421	1.0000000	0.9094793	0.9999563	0.9999739	0.0620040
300	0.9563135	0.3205853	0.9992645	0.4328689	0.1898421	1.0000000	0.9084822	0.9999867	0.9999740	0.0620040
350	0.9563770	0.3206560	0.9992335	0.4327598	0.1898421	1.0000000	0.9080704	0.9999959	0.9999740	0.0620040
400	0.9563985	0.3206958	0.9992205	0.4327323	0.1898421	1.0000000	0.9079088	0.9999987	0.9999740	0.0620040
450	0.9564073	0.3207160	0.9992153	0.4327253	0.1898421	1.0000000	0.9078473	0.9999996	0.9999740	0.0620040
500	0.9564114	0.3207253	0.9992133	0.4327235	0.1898421	1.0000000	0.9078244	0.9999998	0.9999740	0.0620040
550	0.6220770	0.3208450	0.9989773	0.8493877	0.1898421	1.0000000	0.8705101	0.9884782	0.9999740	0.0620040
600	0.5453018	0.3208254	0.9994835	0.9547664	0.1898421	1.0000000	0.8763352	0.9849691	0.9999740	0.0620040
650	0.5275651	0.3206074	0.9997151	0.9814178	0.1898421	1.0000000	0.8838866	0.9839003	0.9999740	0.0620040
700	0.5232601	0.3204153	0.9997991	0.9881582	0.1898421	1.0000000	0.8879265	0.9835748	0.9999740	0.0620040
750	0.5220740	0.3203043	0.9998286	0.9898630	0.1898421	1.0000000	0.8897106	0.9834757	0.9999740	0.0620040
800	0.5216842	0.3202510	0.9998391	0.9902941	0.1898421	1.0000000	0.8904383	0.9834455	0.9999740	0.0620040
850	0.5215365	0.3202278	0.9998429	0.9904032	0.1898421	1.0000000	0.8907227	0.9834363	0.9999740	0.0620040
900	0.5214767	0.3202183	0.9998443	0.9904307	0.1898421	1.0000000	0.8908308	0.9834335	0.9999740	0.0620040
950	0.5214521	0.3202145	0.9998448	0.9904377	0.1898421	1.0000000	0.8908711	0.9834326	0.9999740	0.0620040
1000	0.5214421	0.3202130	0.9998450	0.9904395	0.1898421	1.0000000	0.8908860	0.9834324	0.9999740	0.0620040

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
