"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
850	0.1596122	0.1841405	0.1931630	0.6091109	0.7147758	0.0462546	0.6002530	0.1756840	0.7623015	0.6055193
900	0.1383146	0.2552170	0.1642762	0.6333981	0.6784473	0.0597613	0.8095425	0.2802133	0.7537904	0.7287389
950	0.0749559	0.2640710	0.1115664	0.7372998	0.7149891	0.0940819	0.8737714	0.1960653	0.7948793	0.7251426
1000	0.1136615	0.1667426	0.1072374	0.6634240	0.6119570	0.0873720	0.7115320	0.1803144	0.6386814	0.7375388

0	0.0842495	0.2272518	0.1480189	0.7395767	0.7574928	0.0770957	0.7524946	0.2120608	0.9215298	0.6995277
50	0.1107482	0.1857491	0.0482313	0.5742696	0.9570616	0.0273175	0.7247885	0.1320027	0.6989292	0.6311618
100	0.0485600	0.1128212	0.0282860	0.6797676	0.7010103	0.0243970	0.6776707	0.2000120	0.6783127	0.5795980
150	0.0487691	0.0702856	0.0480607	0.6751397	0.7008478	0.0416643	0.6539533	0.2497743	0.7368888	0.5244794
200	0.0244875	0.1427396	0.0451595	0.6087406	0.6840276	0.0605424	0.6909155	0.1870862	0.6739491	0.5472962
250	0.0270899	0.1152577	0.0843821	0.6631626	0.8875052	0.0192310	0.7025862	0.2497625	0.7282370	0.6421710
300	0.0401099	0.1051586	0.0557312	0.6864785	0.6975679	0.0487790	0.5873548	0.2250191	0.8291707	0.5937542
350	0.0259827	0.0361875	0.1067116	0.7448242	0.6191265	0.0254189	0.6954898	0.1604461	0.6911173	0.6370410
400	0.0204038	0.0965246	0.0523233	0.6760917	0.6343987	0.0388551	0.6886033	0.1641283	0.7086118	0.6545670
450	0.0717708	0.0941601	0.0661268	0.7662219	0.8955221	0.0234606	0.7235795	0.1740296	0.7637888	0.6410899
500	0.0158415	0.1033398	0.0417678	0.7639741	0.7929505	0.0339853	0.7377388	0.1384719	0.7782546	0.6332752
550	0.0317355	0.1378260	0.1131951	0.5640709	0.8664070	0.1117441	0.8315129	0.1932212	0.9452254	0.8022698
600	0.0305746	0.1994832	0.2170772	0.6283361	0.6400451	0.1270329	0.7177188	0.1129435	0.7012666	0.8840187
650	0.1745847	0.2158659	0.2056478	0.7362940	0.5470650	0.1065101	0.7022214	0.2062747	0.5605264	0.7273276
700	0.2503321	0.2318564	0.1593073	0.8176413	0.6781922	0.0450278	0.6641214	0.1921629	0.8183461	0.6152918
750	0.2948112	0.2004245	0.1435885	0.6365503	0.5966923	0.0604151	0.7354722	0.1482350	0.7423373	0.7337196
800	0.2555309	0.2650050	0.1363889	0.7122724	0.7244261	0.0341897	0.7291537	0.1334502	0.7606131	0.7435833
850	0.0860490	0.2151066	0.1150086	0.6832309	0.6528261	0.0704821	0.7392036	0.1835379	0.5957891	0.6794536
900	0.1289846	0.2313883	0.1817290	0.6293198	0.6613983	0.1147066	0.6850394	0.1695113	0.7387596	0.6559336
950	0.0798820	0.1924565	0.1546168	0.6600238	0.7079474	0.1522306	0.8647727	0.1698037	0.7100671	0.6455200
1000	0.1182264	0.2304081	0.1524129	0.7528921	0.6375659	0.0754703	0.7276280	0.2044018	0.8469217	0.7662884

0	0.0803547	0.1869938	0.1380243	0.6899708	0.6635428	0.0555849	0.8021711	0.2210139	0.9249025	0.6757048
50	0.1434075	0.2607819	0.1032845	0.6571558	0.5960970	0.0702975	0.7967325	0.1520045	0.7174802	0.7800874
100	0.1663896	0.1997589	0.1024027	0.5677794	0.6625235	0.0481553	0.8017855	0.1562343	0.7046034	1.0000000
150	0.0498948	0.1760715	0.0973432	0.6876712	0.6888371	0.0346792	0.6627953	0.2443215	0.7871642	0.7543313
200	0.0463239	0.1346672	0.1652545	0.6986162	0.6774047	0.0641099	0.8031200	0.2103769	0.7483392	0.7399368
250	0.1416951	0.2381054	0.1738312	0.6475155	0.6874912	0.0687015	0.6162313	0.1758106	0.7146770	0.7732905
300	0.3264188	0.2184923	0.1135057	0.7335631	0.8450262	0.0735873	0.6719701	0.2013528	0.7926770	0.8016401
350	0.2980739	0.2527291	0.1400868	0.7838629	0.6639094	0.0915626	0.7434226	0.1804748	0.7326002	0.7234205
400	0.1486952	0.2510934	0.0893482	0.5751185	0.8874522	0.0584230	0.7413108	0.2076813	0.7138419	0.7113778
450	0.2030161	0.1965285	0.1852844	0.6135766	0.6542676	0.0835074	0.8166400	0.2261301	0.6840546	0.7683824
500	0.2185439	0.2159736	0.1542498	0.6702298	0.7665317	0.0565483	0.6289249	0.2001134	0.7069499	0.8912526
550	0.3233110	0.2577932	0.1802404	0.7407321	0.9059598	0.0376028	0.6814769	0.2666295	0.7780947	0.7539992
600	0.3171109	0.3079756	0.1333497	0.6326539	0.7109263	0.0602082	0.6560101	0.1881094	0.7118568	0.6205742
650	0.3130458	0.2192495	0.1445699	0.7743373	0.8005890	0.1023171	0.7701867	0.1914582	0.7234031	0.8655899
700	0.2891721	0.1964868	0.1416583	0.6214833	0.6476999	0.0947411	0.6708036	0.2059578	0.6954207	0.7839820
750	0.0861842	0.1302804	0.1575555	0.6915364	0.5813751	0.0428136	0.7557328	0.1382605	0.7454947	0.6814538
800	0.1787494	0.2111750	0.1898757	0.6044687	0.6895941	0.0581760	0.6185337	0.1694089	0.7185816	0.6952342
850	0.1372763	0.1684249	0.1296457	0.5928882	0.7360622	0.0750175	0.7799624	0.1511740	0.7298859	0.8248817
900	0.0972062	0.1480905	0.0908145	0.6924353	0.6474914	0.0763022	0.8599374	0.1461094	0.6654129	0.7981694
950	0.1363170	0.2092971	0.1397312	0.6044406	0.7262908	0.0641118	0.7357000	0.2384670	0.6970208	0.7081953
1000	0.1033617	0.2353390	0.1447960	0.6804046	0.8700069	0.0625267	0.8673176	0.1178024	0.8186599	0.7486771
