Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
931	689	924	(689, 931)	848.0	924.0	137.7425134081704	('phop', 'ybjc')	False												phop	ybjc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
783	879	899	(783, 899)	853.6666666666666	879.0	62.010751755911926	('phop', 'mara')	False												phop	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
921	929	723	(723, 929)	857.6666666666666	921.0	116.69333028641068	('arca', 'phop')	False												arca	phop	0	5	0	0	125	0.12444175533328364	0.4722455726092105
959	753	862	(753, 959)	858.0	862.0	103.05823596394418	('fur', 'ygic')	False												fur	ygic	0	5	0	0	125	0.12444175533328364	0.4722455726092105
919	893	767	(767, 919)	859.6666666666666	893.0	81.29780644847273	('fis', 'yhid')	False												fis	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
953	856	771	(771, 953)	860.0	856.0	91.0659101969557	('fnr', 'ygib')	False												fnr	ygib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
970	662	949	(662, 970)	860.3333333333334	949.0	172.08234462992806	('phop', 'marr')	False												phop	marr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
865	813	905	(813, 905)	861.0	865.0	46.130250378683186	('mara', 'basr')	False												mara	basr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
774	868	968	(774, 968)	870.0	868.0	97.01546268507923	('puta', 'ompn')	False												puta	ompn	0	5	0	0	125	0.12444175533328364	0.4722455726092105
801	903	921	(801, 921)	875.0	903.0	64.71475874945375	('rob', 'ybjc')	True	2690.0	('rob', 'ybjc')		[(0, 0.27082039649784562, 0.0018303734746186512), (10, 0.2145740067319091, 0.099690103449485923), (20, 0.20395622916769535, 0.12806746717690209), (30, 0.29367296902850382, 0.012930301698408347), (60, -0.16636568167968266, 0.35480004703174517), (90, -0.46167130409885682, 0.071833406545504033)]	['+']	rob	ybjc	rob	0.0	ybjc	0.0	rob	ybjc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
795	965	871	(795, 965)	877.0	871.0	85.15867542417507	('crp', 'yhid')	False												crp	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
964	831	845	(831, 964)	880.0	845.0	73.08214556237385	('mara', 'yhid')	True	2092.0	('mara', 'yhid')		[(0, -0.21606002539979469, 0.013552705516106163), (10, -0.23396182975737514, 0.071987149264166647), (20, -0.23573428941341165, 0.077513926100671787), (30, -0.11031578158248968, 0.35975218208216941), (60, -0.11591250711913809, 0.52063764516143562), (90, -0.29235678267986281, 0.27185742766050197)]	['-']	mara	yhid	mara	0.0	yhid	11.0	mara	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
971	791	884	(791, 971)	882.0	884.0	90.0166651237425	('oxyr', 'ygib')	False												oxyr	ygib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
932	839	925	(839, 932)	898.6666666666666	925.0	51.79124765183142	('arca', 'fpr')	False												arca	fpr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
925	961	832	(832, 961)	906.0	925.0	66.56575696257048	('ompr', 'fumc')	False												ompr	fumc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
947	818	961	(818, 961)	908.6666666666666	947.0	78.83104295474806	('acrr', 'crp')	False												acrr	crp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
836	946	959	(836, 959)	913.6666666666666	946.0	67.57465007925185	('oxyr', 'crp')	False												oxyr	crp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
